award,share_pct_top8,share_pct_top25pct,share_pct_mid25_50,share_pct_mid50_75,share_pct_bottom25pct,n_top8,n_top25pct,n_mid25_50,n_mid50_75,n_bottom25pct
Autonomous Award,14.7,6.54,3.01,1.37,0.68,754,42,96,33,13
Creativity Award,6.61,10.12,8.42,6.74,5.25,339,65,269,162,101
Excellence in Engineering Award,11.48,8.88,5.86,3.2,1.51,589,57,187,77,29
Industrial Design Award,11.09,9.03,6.2,3.2,1.77,569,58,198,77,34
Innovation in Control Award,10.72,10.75,7.02,3.04,1.3,550,69,224,73,25
Quality Award,10.6,9.97,6.95,3.58,1.51,544,64,222,86,29
Imagery Award,3.31,7.01,8.58,10.81,9.66,170,45,274,260,186
Judges' Award,4.27,7.94,6.67,10.4,11.69,219,51,213,250,225
Team Spirit Award,2.9,4.05,8.68,10.98,11.69,149,26,277,264,225
Gracious Professionalism Award,4.7,5.45,8.74,9.15,8.88,241,35,279,220,171
Team Sustainability Award,3.41,4.21,7.2,7.61,8.21,175,27,230,183,158
Rising All-Star Award,1.33,2.49,4.89,9.81,15.58,68,16,156,236,300
Rookie All-Star Award,0.88,2.02,4.23,7.82,11.79,45,13,135,188,227
Engineering Inspiration Award,6.84,4.98,7.17,6.9,5.35,351,32,229,166,103
FIRST Impact Award,7.15,6.54,6.39,5.41,5.14,367,42,204,130,99
