won_X,also_won_Industrial Design Award,also_won_Quality Award,also_won_Excellence in Engineering Award,also_won_Creativity Award,also_won_Innovation in Control Award,also_won_Autonomous Award,n_teams_X
Industrial Design Award,,47.0,41.6,35.3,36.6,37.4,604
Quality Award,43.8,,41.3,32.8,37.6,39.8,649
Excellence in Engineering Award,44.0,47.0,,36.8,44.2,42.8,570
Creativity Award,30.2,30.2,29.7,,33.4,27.9,706
Innovation in Control Award,36.1,39.9,41.2,38.6,,42.8,612
Autonomous Award,42.2,48.1,45.5,36.8,48.9,,536
Imagery Award,24.3,23.4,19.6,24.1,21.8,18.4,577
Judges' Award,19.6,20.8,20.1,21.0,20.3,17.7,787
Rookie All-Star Award,7.3,6.1,4.7,7.5,2.8,4.0,574
Rising All-Star Award,8.8,7.0,7.2,10.9,6.7,5.7,613
Team Spirit Award,18.6,19.9,20.7,24.8,19.5,16.2,677
Team Sustainability Award,27.3,25.5,27.5,25.5,25.1,21.4,542
Gracious Professionalism Award,25.7,27.7,26.6,25.7,28.1,23.3,661
Engineering Inspiration Award,32.0,35.3,35.8,27.5,32.4,29.7,556
FIRST Impact Award,32.6,35.5,35.3,27.9,33.5,27.2,445
Safety Award,0.0,0.0,0.0,0.0,0.0,0.0,2
Innovation Award,50.0,50.0,50.0,50.0,50.0,25.0,4
