award,category,n_winners_with_rank,pct_events_awarded,median_rank_pct,mean_rank_pct,pct_winners_qual_top8,pct_winners_bottom_half,pct_winners_also_elim_award
Judges' Award,TEAM,958,93.5,50.0,50.0,22.9,49.6,18.1
Gracious Professionalism Award,TEAM,946,92.3,43.6,45.9,25.5,41.3,24.0
Quality Award,MACHINE,945,92.2,18.2,24.5,57.6,12.2,40.2
Innovation in Control Award,MACHINE,941,91.8,17.6,23.7,58.4,10.4,45.3
Team Spirit Award,TEAM,941,91.8,53.6,53.2,15.8,52.0,17.3
Excellence in Engineering Award,MACHINE,939,91.6,15.4,22.3,62.7,11.3,49.9
Autonomous Award,MACHINE,938,91.5,9.0,14.8,80.4,4.9,61.7
Creativity Award,MACHINE,936,91.3,31.8,37.4,36.2,28.1,26.1
Industrial Design Award,MACHINE,936,91.3,17.5,24.0,60.8,11.9,40.7
Imagery Award,TEAM,935,91.2,48.7,49.8,18.2,47.7,18.1
Engineering Inspiration Award,TEAM,881,85.3,32.5,37.5,39.8,30.6,40.2
FIRST Impact Award,TEAM,842,81.1,28.0,35.4,43.6,27.2,40.6
Rising All-Star Award,TEAM,776,75.8,67.5,63.1,8.8,69.1,21.9
Team Sustainability Award,TEAM,773,75.4,44.0,47.8,22.6,44.1,26.3
Rookie All-Star Award,TEAM,608,59.3,66.7,63.0,7.4,68.3,29.9
Entrepreneurship Award,,162,15.8,41.7,44.6,30.9,41.4,25.3
Volunteer of the Year,,64,6.6,36.8,39.2,37.5,32.8,36.1
Championship Rookie All Star Award,,32,3.5,78.3,68.0,6.2,71.9,14.0
