year,event,award,team,qual_rank,n_teams,rank_pct
2022,2022alhu,Regional Chairman's Award,6652,21,49,42.9
2022,2022alhu,Regional Engineering Inspiration Award,4013,40,49,81.6
2022,2022alhu,Rookie All Star Award,8733,33,49,67.3
2022,2022alhu,Woodie Flowers Finalist Award,1038,39,49,79.6
2022,2022alhu,FIRST Dean's List Finalist Award,1038,39,49,79.6
2022,2022alhu,FIRST Dean's List Finalist Award,325,4,49,8.2
2022,2022alhu,Regional Winners,364,1,49,2.0
2022,2022alhu,Regional Winners,59,2,49,4.1
2022,2022alhu,Regional Winners,3959,15,49,30.6
2022,2022alhu,Regional Finalists,6517,3,49,6.1
2022,2022alhu,Regional Finalists,1710,9,49,18.4
2022,2022alhu,Regional Finalists,6652,21,49,42.9
2022,2022alhu,Autonomous Award sponsored by Ford,59,2,49,4.1
2022,2022alhu,Creativity Award sponsored by Rockwell Automation,3843,30,49,61.2
2022,2022alhu,Entrepreneurship Award,2010,16,49,32.7
2022,2022alhu,Excellence in Engineering Award,1710,9,49,18.4
2022,2022alhu,Gracious Professionalism Award,2556,26,49,53.1
2022,2022alhu,Highest Rookie Seed,8823,32,49,65.3
2022,2022alhu,Imagery Award in honor of Jack Kamen,3465,45,49,91.8
2022,2022alhu,Industrial Design Award sponsored by General Motors,144,6,49,12.2
2022,2022alhu,Innovation in Control Award,364,1,49,2.0
2022,2022alhu,Judges' Award,3653,10,49,20.4
2022,2022alhu,Quality Award,5410,14,49,28.6
2022,2022alhu,Rookie Inspiration Award,8838,48,49,98.0
2022,2022alhu,Team Spirit Award,5484,7,49,14.3
2022,2022alhu,Wildcard,3959,15,49,30.6
2022,2022arli,Regional Chairman's Award,2341,6,19,31.6
2022,2022arli,Regional Engineering Inspiration Award,5006,18,19,94.7
2022,2022arli,Woodie Flowers Finalist Award,5454,5,19,26.3
2022,2022arli,FIRST Dean's List Finalist Award,16,1,19,5.3
2022,2022arli,FIRST Dean's List Finalist Award,5006,18,19,94.7
2022,2022arli,Regional Winners,16,1,19,5.3
2022,2022arli,Regional Winners,4635,2,19,10.5
2022,2022arli,Regional Winners,6586,17,19,89.5
2022,2022arli,Regional Finalists,3937,3,19,15.8
2022,2022arli,Regional Finalists,5454,5,19,26.3
2022,2022arli,Regional Finalists,7483,19,19,100.0
2022,2022arli,Autonomous Award sponsored by Ford,16,1,19,5.3
2022,2022arli,Excellence in Engineering Award,4635,2,19,10.5
2022,2022arli,Gracious Professionalism Award,5454,5,19,26.3
2022,2022arli,Industrial Design Award sponsored by General Motors,1730,4,19,21.1
2022,2022arli,Quality Award,3937,3,19,15.8
2022,2022arli,Team Spirit Award,6055,7,19,36.8
2022,2022arli,Wildcard,6586,17,19,89.5
2022,2022arli,Wildcard,5454,5,19,26.3
2022,2022arli,Wildcard,7483,19,19,100.0
2022,2022ausc,Regional Chairman's Award,5985,14,27,51.9
2022,2022ausc,Regional Engineering Inspiration Award,4788,,27,
2022,2022ausc,Rookie All Star Award,8875,11,27,40.7
2022,2022ausc,Woodie Flowers Finalist Award,6510,4,27,14.8
2022,2022ausc,FIRST Dean's List Finalist Award,6035,17,27,63.0
2022,2022ausc,FIRST Dean's List Finalist Award,3132,3,27,11.1
2022,2022ausc,Regional Winners,4613,1,27,3.7
2022,2022ausc,Regional Winners,6510,4,27,14.8
2022,2022ausc,Regional Winners,5876,27,27,100.0
2022,2022ausc,Regional Finalists,4774,2,27,7.4
2022,2022ausc,Regional Finalists,5584,5,27,18.5
2022,2022ausc,Regional Finalists,6432,26,27,96.3
2022,2022ausc,Autonomous Award sponsored by Ford,4613,1,27,3.7
2022,2022ausc,Creativity Award sponsored by Rockwell Automation,3132,3,27,11.1
2022,2022ausc,Entrepreneurship Award,7583,7,27,25.9
2022,2022ausc,Excellence in Engineering Award,5331,10,27,37.0
2022,2022ausc,Gracious Professionalism Award,5876,27,27,100.0
2022,2022ausc,Highest Rookie Seed,8875,11,27,40.7
2022,2022ausc,Imagery Award in honor of Jack Kamen,6476,13,27,48.1
2022,2022ausc,Industrial Design Award sponsored by General Motors,7561,8,27,29.6
2022,2022ausc,Innovation in Control Award,4774,2,27,7.4
2022,2022ausc,Judges' Award,6050,25,27,92.6
2022,2022ausc,Quality Award,6510,4,27,14.8
2022,2022ausc,Rookie Inspiration Award,8844,20,27,74.1
2022,2022ausc,Team Spirit Award,6035,17,27,63.0
2022,2022azfl,Regional Chairman's Award,498,13,36,36.1
2022,2022azfl,Regional Engineering Inspiration Award,2486,11,36,30.6
2022,2022azfl,Rookie All Star Award,8745,12,36,33.3
2022,2022azfl,Woodie Flowers Finalist Award,3853,6,36,16.7
2022,2022azfl,FIRST Dean's List Finalist Award,2486,11,36,30.6
2022,2022azfl,FIRST Dean's List Finalist Award,991,23,36,63.9
2022,2022azfl,Regional Winners,2122,1,36,2.8
2022,2022azfl,Regional Winners,114,2,36,5.6
2022,2022azfl,Regional Winners,1726,21,36,58.3
2022,2022azfl,Regional Finalists,4068,4,36,11.1
2022,2022azfl,Regional Finalists,3200,14,36,38.9
2022,2022azfl,Regional Finalists,1410,28,36,77.8
2022,2022azfl,Regional Finalists,8087,22,36,61.1
2022,2022azfl,Autonomous Award sponsored by Ford,2122,1,36,2.8
2022,2022azfl,Creativity Award sponsored by Rockwell Automation,114,2,36,5.6
2022,2022azfl,Entrepreneurship Award,1410,28,36,77.8
2022,2022azfl,Excellence in Engineering Award,3200,14,36,38.9
2022,2022azfl,Gracious Professionalism Award,996,35,36,97.2
2022,2022azfl,Highest Rookie Seed,8745,12,36,33.3
2022,2022azfl,Imagery Award in honor of Jack Kamen,8087,22,36,61.1
2022,2022azfl,Industrial Design Award sponsored by General Motors,2403,10,36,27.8
2022,2022azfl,Innovation in Control Award,2083,34,36,94.4
2022,2022azfl,Judges' Award,1891,9,36,25.0
2022,2022azfl,Quality Award,4418,19,36,52.8
2022,2022azfl,Team Spirit Award,7426,17,36,47.2
2022,2022azva,Regional Chairman's Award,6413,7,35,20.0
2022,2022azva,Regional Engineering Inspiration Award,2073,8,35,22.9
2022,2022azva,Rookie All Star Award,8848,5,35,14.3
2022,2022azva,Woodie Flowers Finalist Award,2403,11,35,31.4
2022,2022azva,FIRST Dean's List Finalist Award,6479,26,35,74.3
2022,2022azva,FIRST Dean's List Finalist Award,6833,19,35,54.3
2022,2022azva,Regional Winners,4415,1,35,2.9
2022,2022azva,Regional Winners,2478,3,35,8.6
2022,2022azva,Regional Winners,7703,20,35,57.1
2022,2022azva,Regional Finalists,498,2,35,5.7
2022,2022azva,Regional Finalists,3853,4,35,11.4
2022,2022azva,Regional Finalists,3245,25,35,71.4
2022,2022azva,Autonomous Award sponsored by Ford,6479,26,35,74.3
2022,2022azva,Creativity Award sponsored by Rockwell Automation,3944,12,35,34.3
2022,2022azva,Entrepreneurship Award,2403,11,35,31.4
2022,2022azva,Excellence in Engineering Award,3853,4,35,11.4
2022,2022azva,Gracious Professionalism Award,3019,27,35,77.1
2022,2022azva,Highest Rookie Seed,8848,5,35,14.3
2022,2022azva,Imagery Award in honor of Jack Kamen,6352,6,35,17.1
2022,2022azva,Industrial Design Award sponsored by General Motors,2478,3,35,8.6
2022,2022azva,Innovation in Control Award,4415,1,35,2.9
2022,2022azva,Judges' Award,4146,30,35,85.7
2022,2022azva,Quality Award,4817,14,35,40.0
2022,2022azva,Rookie Inspiration Award,8745,15,35,42.9
2022,2022azva,Team Spirit Award,6833,19,35,54.3
2022,2022bcvi,Regional Chairman's Award,6390,6,22,27.3
2022,2022bcvi,Regional Engineering Inspiration Award,6485,3,22,13.6
2022,2022bcvi,Woodie Flowers Finalist Award,6390,6,22,27.3
2022,2022bcvi,FIRST Dean's List Finalist Award,4421,2,22,9.1
2022,2022bcvi,Regional Winners,6364,1,22,4.5
2022,2022bcvi,Regional Winners,4421,2,22,9.1
2022,2022bcvi,Regional Winners,7167,18,22,81.8
2022,2022bcvi,Regional Finalists,6485,3,22,13.6
2022,2022bcvi,Regional Finalists,6351,9,22,40.9
2022,2022bcvi,Regional Finalists,8082,17,22,77.3
2022,2022bcvi,Creativity Award sponsored by Rockwell Automation,4627,10,22,45.5
2022,2022bcvi,Excellence in Engineering Award,6364,1,22,4.5
2022,2022bcvi,Gracious Professionalism Award,216,12,22,54.5
2022,2022bcvi,Highest Rookie Seed,8794,19,22,86.4
2022,2022bcvi,Innovation in Control Award,4421,2,22,9.1
2022,2022bcvi,Judges' Award,7787,4,22,18.2
2022,2022bcvi,Team Spirit Award,7332,11,22,50.0
2022,2022caav,Regional Chairman's Award,399,10,35,28.6
2022,2022caav,Regional Engineering Inspiration Award,1700,20,35,57.1
2022,2022caav,Woodie Flowers Finalist Award,6989,29,35,82.9
2022,2022caav,FIRST Dean's List Finalist Award,399,10,35,28.6
2022,2022caav,FIRST Dean's List Finalist Award,2658,16,35,45.7
2022,2022caav,Regional Winners,5199,1,35,2.9
2022,2022caav,Regional Winners,4414,3,35,8.6
2022,2022caav,Regional Winners,5526,31,35,88.6
2022,2022caav,Regional Finalists,3647,2,35,5.7
2022,2022caav,Regional Finalists,1538,5,35,14.3
2022,2022caav,Regional Finalists,6989,29,35,82.9
2022,2022caav,Autonomous Award sponsored by Ford,3647,2,35,5.7
2022,2022caav,Creativity Award sponsored by Rockwell Automation,3669,12,35,34.3
2022,2022caav,Entrepreneurship Award,5199,1,35,2.9
2022,2022caav,Excellence in Engineering Award,2429,11,35,31.4
2022,2022caav,Gracious Professionalism Award,5012,28,35,80.0
2022,2022caav,Imagery Award in honor of Jack Kamen,5869,24,35,68.6
2022,2022caav,Industrial Design Award sponsored by General Motors,4414,3,35,8.6
2022,2022caav,Innovation in Control Award,5818,7,35,20.0
2022,2022caav,Judges' Award,4014,23,35,65.7
2022,2022caav,Quality Award,1538,5,35,14.3
2022,2022caav,Team Spirit Award,6305,15,35,42.9
2022,2022caav,Wildcard,5526,31,35,88.6
2022,2022cabb,Winner,3476,,,
2022,2022cabb,Winner,5199,,,
2022,2022cabb,Winner,3255,,,
2022,2022cabb,Finalist,6560,,,
2022,2022cabb,Finalist,3647,,,
2022,2022cabb,Finalist,2485,,,
2022,2022cabb,Gracious Professionalism Award,3128,,,
2022,2022cabb,Highest Quality Robot Award,3476,,,
2022,2022cabb,Most Creative Robot Award,2485,,,
2022,2022cabb,Most Valuable Team Award,3647,,,
2022,2022cabl,Big Wave Award,4201,23,42,54.8
2022,2022cabl,Winner,6995,3,42,7.1
2022,2022cabl,Winner,696,6,42,14.3
2022,2022cabl,Winner,687,35,42,83.3
2022,2022cabl,Winner,2658,36,42,85.7
2022,2022cabl,Finalist,3476,7,42,16.7
2022,2022cabl,Finalist,2122,22,42,52.4
2022,2022cabl,Finalist,4201,23,42,54.8
2022,2022cabl,Finalist,599,15,42,35.7
2022,2022cabl,Against All Odds,6220,13,42,31.0
2022,2022cabl,Judges' Award,4738,24,42,57.1
2022,2022cabl,Programming Award,3128,10,42,23.8
2022,2022cabl,Quality Award,696,6,42,14.3
2022,2022cabl,Scouting Award,3476,7,42,16.7
2022,2022cacc,Volunteer of the Year,2073,12,35,34.3
2022,2022cacc,Winner,1678,1,35,2.9
2022,2022cacc,Winner,5940,3,35,8.6
2022,2022cacc,Winner,5430,36,35,102.9
2022,2022cacc,Winner,4698,30,35,85.7
2022,2022cacc,Finalist,114,2,35,5.7
2022,2022cacc,Finalist,1671,5,35,14.3
2022,2022cacc,Finalist,8048,23,35,65.7
2022,2022cacc,Finalist,5274,27,35,77.1
2022,2022cacc,Cheesecake Award,6884,31,35,88.6
2022,2022cacc,Excellence in Engineering,2135,4,35,11.4
2022,2022cacc,Innovation in Control,114,2,35,5.7
2022,2022cacc,Judges' Award,6059,17,35,48.6
2022,2022cacg,Founder's Award,115,17,32,53.1
2022,2022cacg,Mentor of the Year,840,23,32,71.9
2022,2022cacg,Winner,670,5,32,15.6
2022,2022cacg,Winner,5419,10,32,31.2
2022,2022cacg,Winner,841,20,32,62.5
2022,2022cacg,Finalist,2813,6,32,18.8
2022,2022cacg,Finalist,8,7,32,21.9
2022,2022cacg,Finalist,766,19,32,59.4
2022,2022cacg,Autonomous Action Challenge,649,2,32,6.2
2022,2022cacg,Entrepreneurship Award,846,4,32,12.5
2022,2022cacg,Highest Seeded Rookie,9143,3,32,9.4
2022,2022cacg,Imagery Award,253,16,32,50.0
2022,2022cacg,Innovation Award,4904,30,32,93.8
