year,events_attended,n_teams,pct_ever_captain,pct_ever_on_alliance,captaincies_per_team
2023,1,833,8.4,29.5,0.084
2023,2,1393,23.0,68.4,0.258
2023,3,686,53.8,98.3,0.697
2023,4+,372,80.9,99.7,1.403
2023,ALL,3284,32.3,68.3,0.435
2024,1,843,6.6,22.3,0.066
2024,2,1532,22.5,66.9,0.248
2024,3,730,54.7,97.4,0.718
2024,4+,369,79.4,99.7,1.407
2024,ALL,3474,31.5,66.0,0.426
2025,1,910,5.8,24.5,0.058
2025,2,1610,23.2,68.7,0.258
2025,3,816,57.6,96.9,0.761
2025,4+,351,79.8,100.0,1.407
2025,ALL,3687,31.9,67.0,0.429
2026,1,852,9.2,35.8,0.092
2026,2,1639,21.8,70.8,0.237
2026,3,828,59.7,98.4,0.779
2026,4+,380,79.7,100.0,1.439
2026,ALL,3699,33.3,71.9,0.448
