year,predictor,n_events,median_auc_picked,p25,p75
2023,qual_rank,176,0.827,0.752,0.891
2023,avg_match,176,0.856,0.8,0.912
2023,avg_auto,176,0.755,0.677,0.831
2023,ranking_score,176,0.812,0.735,0.874
2024,qual_rank,180,0.826,0.765,0.892
2024,avg_match,180,0.872,0.806,0.922
2024,avg_auto,180,0.731,0.66,0.811
2024,ranking_score,180,0.821,0.753,0.887
2025,qual_rank,194,0.782,0.706,0.855
2025,avg_match,194,0.84,0.789,0.905
2025,avg_auto,194,0.692,0.609,0.766
2025,ranking_score,194,0.777,0.701,0.846
2026,qual_rank,200,0.798,0.727,0.857
2026,avg_match,200,0.801,0.731,0.856
2026,avg_auto,200,0.7,0.589,0.766
2026,ranking_score,200,0.783,0.717,0.85
