year,field_size,rank_band,n,pct_picked
2023,huge (61+),0-10%,70,100.0
2023,huge (61+),10-25%,100,81.0
2023,huge (61+),25-33%,58,56.9
2023,huge (61+),33-50%,109,42.2
2023,huge (61+),50-66%,111,28.8
2023,huge (61+),66-75%,56,10.7
2023,huge (61+),75-90%,105,11.4
2023,huge (61+),90-100%,71,1.4
2023,large (46-60),0-10%,161,100.0
2023,large (46-60),10-25%,231,98.7
2023,large (46-60),25-33%,123,83.7
2023,large (46-60),33-50%,249,53.4
2023,large (46-60),50-66%,246,32.5
2023,large (46-60),66-75%,133,21.8
2023,large (46-60),75-90%,232,8.2
2023,large (46-60),90-100%,161,1.2
2023,medium (36-45),0-10%,340,100.0
2023,medium (36-45),10-25%,471,100.0
2023,medium (36-45),25-33%,255,94.5
2023,medium (36-45),33-50%,522,83.9
2023,medium (36-45),50-66%,526,50.4
2023,medium (36-45),66-75%,270,35.6
2023,medium (36-45),75-90%,480,22.3
2023,medium (36-45),90-100%,343,13.1
2023,small (<36),0-10%,197,100.0
2023,small (<36),10-25%,257,100.0
2023,small (<36),25-33%,137,100.0
2023,small (<36),33-50%,286,97.2
2023,small (<36),50-66%,290,84.1
2023,small (<36),66-75%,150,76.7
2023,small (<36),75-90%,262,54.2
2023,small (<36),90-100%,206,38.8
2024,huge (61+),0-10%,77,100.0
2024,huge (61+),10-25%,106,78.3
2024,huge (61+),25-33%,58,72.4
2024,huge (61+),33-50%,116,48.3
2024,huge (61+),50-66%,116,30.2
2024,huge (61+),66-75%,64,17.2
2024,huge (61+),75-90%,106,3.8
2024,huge (61+),90-100%,78,0.0
2024,large (46-60),0-10%,220,100.0
2024,large (46-60),10-25%,314,97.8
2024,large (46-60),25-33%,168,76.8
2024,large (46-60),33-50%,340,53.8
2024,large (46-60),50-66%,335,28.1
2024,large (46-60),66-75%,184,20.7
2024,large (46-60),75-90%,313,10.9
2024,large (46-60),90-100%,226,5.8
2024,medium (36-45),0-10%,310,100.0
2024,medium (36-45),10-25%,424,100.0
2024,medium (36-45),25-33%,228,96.5
2024,medium (36-45),33-50%,475,85.1
2024,medium (36-45),50-66%,471,50.5
2024,medium (36-45),66-75%,247,36.0
2024,medium (36-45),75-90%,428,22.4
2024,medium (36-45),90-100%,314,12.1
2024,small (<36),0-10%,210,100.0
2024,small (<36),10-25%,272,100.0
2024,small (<36),25-33%,149,100.0
2024,small (<36),33-50%,296,98.0
2024,small (<36),50-66%,309,82.5
2024,small (<36),66-75%,156,71.8
2024,small (<36),75-90%,280,53.2
2024,small (<36),90-100%,215,31.6
2025,huge (61+),0-10%,64,100.0
2025,huge (61+),10-25%,88,76.1
2025,huge (61+),25-33%,48,52.1
2025,huge (61+),33-50%,97,48.5
2025,huge (61+),50-66%,96,33.3
2025,huge (61+),66-75%,56,21.4
2025,huge (61+),75-90%,88,10.2
2025,huge (61+),90-100%,64,0.0
2025,large (46-60),0-10%,219,100.0
2025,large (46-60),10-25%,311,97.1
2025,large (46-60),25-33%,169,73.4
2025,large (46-60),33-50%,336,51.5
2025,large (46-60),50-66%,336,28.0
2025,large (46-60),66-75%,182,23.6
2025,large (46-60),75-90%,309,12.9
2025,large (46-60),90-100%,224,7.1
2025,medium (36-45),0-10%,341,100.0
2025,medium (36-45),10-25%,470,99.8
2025,medium (36-45),25-33%,258,93.4
2025,medium (36-45),33-50%,525,74.9
2025,medium (36-45),50-66%,527,52.6
2025,medium (36-45),66-75%,270,33.7
2025,medium (36-45),75-90%,484,27.1
2025,medium (36-45),90-100%,348,13.8
2025,small (<36),0-10%,235,100.0
2025,small (<36),10-25%,302,100.0
2025,small (<36),25-33%,164,100.0
2025,small (<36),33-50%,333,94.6
2025,small (<36),50-66%,342,76.9
2025,small (<36),66-75%,174,67.8
2025,small (<36),75-90%,309,57.3
2025,small (<36),90-100%,244,36.5
2026,huge (61+),0-10%,71,100.0
2026,huge (61+),10-25%,98,82.7
2026,huge (61+),25-33%,53,58.5
2026,huge (61+),33-50%,107,48.6
2026,huge (61+),50-66%,106,25.5
2026,huge (61+),66-75%,59,20.3
2026,huge (61+),75-90%,98,3.1
2026,huge (61+),90-100%,71,7.0
2026,large (46-60),0-10%,185,100.0
2026,large (46-60),10-25%,269,98.5
2026,large (46-60),25-33%,140,88.6
2026,large (46-60),33-50%,290,52.8
2026,large (46-60),50-66%,284,26.4
2026,large (46-60),66-75%,155,19.4
2026,large (46-60),75-90%,269,15.6
2026,large (46-60),90-100%,189,7.4
2026,medium (36-45),0-10%,325,100.0
2026,medium (36-45),10-25%,446,100.0
2026,medium (36-45),25-33%,247,96.0
2026,medium (36-45),33-50%,495,75.4
2026,medium (36-45),50-66%,504,53.8
2026,medium (36-45),66-75%,252,38.1
2026,medium (36-45),75-90%,460,25.0
2026,medium (36-45),90-100%,335,14.3
2026,small (<36),0-10%,296,100.0
2026,small (<36),10-25%,379,100.0
2026,small (<36),25-33%,210,100.0
2026,small (<36),33-50%,417,93.3
2026,small (<36),50-66%,438,81.7
2026,small (<36),66-75%,212,67.0
2026,small (<36),75-90%,395,60.8
2026,small (<36),90-100%,305,43.3
