year,week,n_events,mean_event_avg_match,index_vs_week1
2023,Week 1,28,65.2,100.0
2023,Week 2,24,65.7,100.8
2023,Week 3,33,72.9,111.8
2023,Week 4,35,81.5,125.0
2023,Week 5,31,82.8,127.0
2023,Week 6,20,114.8,176.1
2023,FIRST Championship,8,135.6,208.0
2024,Week 1,32,37.4,100.0
2024,Week 2,30,37.4,100.0
2024,Week 3,32,42.2,112.8
2024,Week 4,38,46.7,124.9
2024,Week 5,17,46.4,124.1
2024,Week 6,28,63.4,169.5
2024,FIRST Championship,8,84.4,225.7
2025,Week 1,25,72.5,100.0
2025,Week 2,31,67.3,92.8
2025,Week 3,39,77.1,106.3
2025,Week 4,38,88.3,121.8
2025,Week 5,28,96.2,132.7
2025,Week 6,29,128.3,177.0
2025,FIRST Championship,8,182.0,251.0
2026,Week 1,29,115.4,100.0
2026,Week 2,32,119.7,103.7
2026,Week 3,38,133.7,115.9
2026,Week 4,36,159.9,138.6
2026,Week 5,21,159.4,138.1
2026,Week 6,25,192.6,166.9
2026,Week 7,16,275.3,238.6
2026,Week 17,1,262.5,227.5
2026,Week 18,1,179.7,155.7
2026,Week 19,1,328.3,284.5
2026,FIRST Championship,8,407.8,353.4
