year,slot,n,median_rank_pctile,p90_rank_pctile,pct_from_bottom_half
2023,captain,179,2.9,10.7,0.0
2023,pick1,179,9.4,30.6,3.4
2023,pick2,179,63.2,91.7,72.1
2023,backup,33,44.7,62.1,42.4
2024,captain,182,2.9,10.0,0.0
2024,pick1,182,9.6,30.2,0.5
2024,pick2,182,66.7,93.5,76.9
2024,backup,33,44.0,62.9,42.4
2025,captain,198,2.8,5.3,0.0
2025,pick1,198,8.4,24.1,1.5
2025,pick2,198,68.8,92.7,76.3
2025,backup,28,41.2,67.7,28.6
2026,captain,207,2.9,5.6,0.0
2026,pick1,207,7.3,17.2,0.0
2026,pick2,207,71.0,94.4,84.5
2026,backup,43,43.8,66.7,34.9
