year,event,week,alliance,slot,team,qual_rank,n_teams,rank_pct,won_event
2026,2026tuis,Week 1,1,captain,9483,1,32,3.12,1
2026,2026tuis,Week 1,1,pick1,6436,2,32,6.25,1
2026,2026tuis,Week 1,1,pick2,10141,30,32,93.75,1
2026,2026tuis,Week 1,2,captain,9029,3,32,9.38,0
2026,2026tuis,Week 1,2,pick1,4481,4,32,12.5,0
2026,2026tuis,Week 1,2,pick2,8242,22,32,68.75,0
2026,2026tuis,Week 1,2,backup,11416,16,32,50.0,0
2026,2026tuis,Week 1,3,captain,11244,5,32,15.62,0
2026,2026tuis,Week 1,3,pick1,9233,25,32,78.12,0
2026,2026tuis,Week 1,3,pick2,9132,27,32,84.38,0
2026,2026tuis,Week 1,4,captain,3646,6,32,18.75,0
2026,2026tuis,Week 1,4,pick1,9077,14,32,43.75,0
2026,2026tuis,Week 1,4,pick2,9583,29,32,90.62,0
2026,2026tuis,Week 1,5,captain,11281,7,32,21.88,0
2026,2026tuis,Week 1,5,pick1,5883,8,32,25.0,0
2026,2026tuis,Week 1,5,pick2,10308,17,32,53.12,0
2026,2026tuis,Week 1,6,captain,7611,9,32,28.12,0
2026,2026tuis,Week 1,6,pick1,6431,12,32,37.5,0
2026,2026tuis,Week 1,6,pick2,4191,26,32,81.25,0
2026,2026tuis,Week 1,7,captain,10043,10,32,31.25,0
2026,2026tuis,Week 1,7,pick1,10428,13,32,40.62,0
2026,2026tuis,Week 1,7,pick2,8153,28,32,87.5,0
2026,2026tuis,Week 1,8,captain,11036,11,32,34.38,0
2026,2026tuis,Week 1,8,pick1,11000,15,32,46.88,0
2026,2026tuis,Week 1,8,pick2,6064,19,32,59.38,0
2026,2026mndu,Week 1,1,captain,3100,1,42,2.38,1
2026,2026mndu,Week 1,1,pick1,5348,4,42,9.52,1
2026,2026mndu,Week 1,1,pick2,4741,36,42,85.71,1
2026,2026mndu,Week 1,2,captain,3297,2,42,4.76,0
2026,2026mndu,Week 1,2,pick1,2847,3,42,7.14,0
2026,2026mndu,Week 1,2,pick2,3630,22,42,52.38,0
2026,2026mndu,Week 1,2,backup,4536,18,42,42.86,0
2026,2026mndu,Week 1,3,captain,2846,5,42,11.9,0
2026,2026mndu,Week 1,3,pick1,2503,8,42,19.05,0
2026,2026mndu,Week 1,3,pick2,3082,28,42,66.67,0
2026,2026mndu,Week 1,4,captain,7797,6,42,14.29,0
2026,2026mndu,Week 1,4,pick1,2181,20,42,47.62,0
2026,2026mndu,Week 1,4,pick2,7849,19,42,45.24,0
2026,2026mndu,Week 1,4,backup,8422,14,42,33.33,0
2026,2026mndu,Week 1,5,captain,4778,7,42,16.67,0
2026,2026mndu,Week 1,5,pick1,4009,9,42,21.43,0
2026,2026mndu,Week 1,5,pick2,2823,23,42,54.76,0
2026,2026mndu,Week 1,6,captain,3130,10,42,23.81,0
2026,2026mndu,Week 1,6,pick1,6147,26,42,61.9,0
2026,2026mndu,Week 1,6,pick2,3267,15,42,35.71,0
2026,2026mndu,Week 1,7,captain,11223,11,42,26.19,0
2026,2026mndu,Week 1,7,pick1,5690,13,42,30.95,0
2026,2026mndu,Week 1,7,pick2,2861,16,42,38.1,0
2026,2026mndu,Week 1,8,captain,4674,12,42,28.57,0
2026,2026mndu,Week 1,8,pick1,3883,32,42,76.19,0
2026,2026mndu,Week 1,8,pick2,3926,17,42,40.48,0
2026,2026mndu2,Week 1,1,captain,6907,1,42,2.38,0
2026,2026mndu2,Week 1,1,pick1,2052,2,42,4.76,0
2026,2026mndu2,Week 1,1,pick2,6047,33,42,78.57,0
2026,2026mndu2,Week 1,1,backup,9532,13,42,30.95,0
2026,2026mndu2,Week 1,2,captain,2491,3,42,7.14,1
2026,2026mndu2,Week 1,2,pick1,5913,5,42,11.9,1
2026,2026mndu2,Week 1,2,pick2,2169,14,42,33.33,1
2026,2026mndu2,Week 1,3,captain,6045,4,42,9.52,0
2026,2026mndu2,Week 1,3,pick1,2855,23,42,54.76,0
2026,2026mndu2,Week 1,3,pick2,5232,34,42,80.95,0
2026,2026mndu2,Week 1,4,captain,8122,6,42,14.29,0
2026,2026mndu2,Week 1,4,pick1,2472,15,42,35.71,0
2026,2026mndu2,Week 1,4,pick2,2239,30,42,71.43,0
2026,2026mndu2,Week 1,5,captain,4687,7,42,16.67,0
2026,2026mndu2,Week 1,5,pick1,2177,8,42,19.05,0
2026,2026mndu2,Week 1,5,pick2,3610,24,42,57.14,0
2026,2026mndu2,Week 1,6,captain,7041,9,42,21.43,0
2026,2026mndu2,Week 1,6,pick1,4181,19,42,45.24,0
2026,2026mndu2,Week 1,6,pick2,2129,38,42,90.48,0
2026,2026mndu2,Week 1,7,captain,3102,10,42,23.81,0
2026,2026mndu2,Week 1,7,pick1,4623,29,42,69.05,0
2026,2026mndu2,Week 1,7,pick2,3008,31,42,73.81,0
2026,2026mndu2,Week 1,7,backup,5275,12,42,28.57,0
2026,2026mndu2,Week 1,8,captain,6758,11,42,26.19,0
2026,2026mndu2,Week 1,8,pick1,10711,20,42,47.62,0
2026,2026mndu2,Week 1,8,pick2,3212,25,42,59.52,0
2026,2026mnwi,Week 1,1,captain,4143,1,41,2.44,1
2026,2026mnwi,Week 1,1,pick1,5847,4,41,9.76,1
2026,2026mnwi,Week 1,1,pick2,112,32,41,78.05,1
2026,2026mnwi,Week 1,2,captain,4646,2,41,4.88,0
2026,2026mnwi,Week 1,2,pick1,111,8,41,19.51,0
2026,2026mnwi,Week 1,2,pick2,525,39,41,95.12,0
2026,2026mnwi,Week 1,3,captain,4174,3,41,7.32,0
2026,2026mnwi,Week 1,3,pick1,4065,18,41,43.9,0
2026,2026mnwi,Week 1,3,pick2,3206,23,41,56.1,0
2026,2026mnwi,Week 1,4,captain,3928,5,41,12.2,0
2026,2026mnwi,Week 1,4,pick1,695,10,41,24.39,0
2026,2026mnwi,Week 1,4,pick2,7858,14,41,34.15,0
2026,2026mnwi,Week 1,5,captain,2530,6,41,14.63,0
2026,2026mnwi,Week 1,5,pick1,6419,17,41,41.46,0
2026,2026mnwi,Week 1,5,pick2,9082,24,41,58.54,0
2026,2026mnwi,Week 1,6,captain,4663,7,41,17.07,0
2026,2026mnwi,Week 1,6,pick1,2987,22,41,53.66,0
2026,2026mnwi,Week 1,6,pick2,5914,15,41,36.59,0
2026,2026mnwi,Week 1,7,captain,3061,9,41,21.95,0
2026,2026mnwi,Week 1,7,pick1,2220,16,41,39.02,0
2026,2026mnwi,Week 1,7,pick2,2977,29,41,70.73,0
2026,2026mnwi,Week 1,8,captain,2508,11,41,26.83,0
2026,2026mnwi,Week 1,8,pick1,967,20,41,48.78,0
2026,2026mnwi,Week 1,8,pick2,167,12,41,29.27,0
2026,2026okok,Week 1,1,captain,1706,1,46,2.17,1
2026,2026okok,Week 1,1,pick1,4635,2,46,4.35,1
2026,2026okok,Week 1,1,pick2,3160,34,46,73.91,1
2026,2026okok,Week 1,1,backup,5968,14,46,30.43,1
2026,2026okok,Week 1,2,captain,3931,3,46,6.52,0
2026,2026okok,Week 1,2,pick1,4522,17,46,36.96,0
2026,2026okok,Week 1,2,pick2,5550,37,46,80.43,0
2026,2026okok,Week 1,3,captain,1939,4,46,8.7,0
2026,2026okok,Week 1,3,pick1,2383,11,46,23.91,0
2026,2026okok,Week 1,3,pick2,3526,19,46,41.3,0
2026,2026okok,Week 1,4,captain,2718,5,46,10.87,0
2026,2026okok,Week 1,4,pick1,4256,12,46,26.09,0
2026,2026okok,Week 1,4,pick2,4500,33,46,71.74,0
2026,2026okok,Week 1,4,backup,2457,13,46,28.26,0
2026,2026okok,Week 1,5,captain,6391,6,46,13.04,0
2026,2026okok,Week 1,5,pick1,2373,16,46,34.78,0
2026,2026okok,Week 1,5,pick2,4523,21,46,45.65,0
2026,2026okok,Week 1,6,captain,4766,7,46,15.22,0
2026,2026okok,Week 1,6,pick1,1561,10,46,21.74,0
2026,2026okok,Week 1,6,pick2,4206,40,46,86.96,0
2026,2026okok,Week 1,7,captain,3465,8,46,17.39,0
2026,2026okok,Week 1,7,pick1,6424,24,46,52.17,0
2026,2026okok,Week 1,7,pick2,2183,30,46,65.22,0
2026,2026okok,Week 1,8,captain,1209,9,46,19.57,0
2026,2026okok,Week 1,8,pick1,6809,18,46,39.13,0
2026,2026okok,Week 1,8,pick2,3179,27,46,58.7,0
2026,2026bcvi,Week 1,1,captain,359,1,44,2.27,1
2026,2026bcvi,Week 1,1,pick1,3683,2,44,4.55,1
2026,2026bcvi,Week 1,1,pick2,9180,34,44,77.27,1
2026,2026bcvi,Week 1,2,captain,4421,3,44,6.82,0
2026,2026bcvi,Week 1,2,pick1,3990,4,44,9.09,0
2026,2026bcvi,Week 1,2,pick2,5461,28,44,63.64,0
2026,2026bcvi,Week 1,3,captain,6766,5,44,11.36,0
2026,2026bcvi,Week 1,3,pick1,4270,6,44,13.64,0
2026,2026bcvi,Week 1,3,pick2,6390,29,44,65.91,0
2026,2026bcvi,Week 1,4,captain,9406,7,44,15.91,0
2026,2026bcvi,Week 1,4,pick1,610,8,44,18.18,0
2026,2026bcvi,Week 1,4,pick2,7190,31,44,70.45,0
2026,2026bcvi,Week 1,5,captain,10120,9,44,20.45,0
2026,2026bcvi,Week 1,5,pick1,9277,14,44,31.82,0
2026,2026bcvi,Week 1,5,pick2,6364,36,44,81.82,0
