year,event,week,team,opr,auto,teleop,endgame,foul,rp,total
2025,2025isde1,Week 1,1690,78.602,22.619,53.176,4.386,2.765,3.389,78.602
2025,2025isde1,Week 1,5614,69.879,19.166,49.631,11.15,1.032,3.49,69.879
2025,2025isde1,Week 1,2630,58.355,18.741,38.163,8.064,1.612,3.392,58.355
2025,2025isde1,Week 1,3065,57.39,4.512,44.726,-0.047,8.12,0.445,57.39
2025,2025isde1,Week 1,5951,56.818,14.299,37.415,11.992,5.236,3.31,56.818
2025,2025isde1,Week 1,2096,45.266,8.304,37.224,1.693,-0.354,0.878,45.266
2025,2025isde1,Week 1,5635,41.357,6.005,32.757,5.83,2.611,1.283,41.357
2025,2025isde1,Week 1,1942,36.228,10.078,27.996,0.594,-1.633,1.141,36.228
2025,2025isde1,Week 1,4338,33.874,3.683,26.128,2.203,3.977,1.154,33.874
2025,2025isde1,Week 1,1577,32.018,5.537,26.294,1.441,0.636,1.291,32.018
2025,2025isde1,Week 1,8223,29.466,7.81,21.291,4.786,0.255,1.003,29.466
2025,2025isde1,Week 1,8175,29.355,2.213,24.16,2.096,2.85,0.472,29.355
2025,2025isde1,Week 1,3083,27.375,1.424,24.868,1.622,0.998,0.776,27.375
2025,2025isde1,Week 1,6738,25.202,5.551,19.542,-0.039,0.492,0.782,25.202
2025,2025isde1,Week 1,4661,20.955,2.504,18.817,1.623,-0.417,1.102,20.955
2025,2025isde1,Week 1,5654,20.561,1.627,17.529,2.331,1.383,0.481,20.561
2025,2025isde1,Week 1,6104,18.626,1.436,15.68,1.815,1.395,-0.102,18.626
2025,2025isde1,Week 1,4416,17.93,2.028,12.776,3.602,3.081,0.651,17.93
2025,2025isde1,Week 1,4319,17.563,3.445,10.113,0.989,3.929,0.175,17.563
2025,2025isde1,Week 1,9738,17.539,-0.216,19.046,0.797,-1.284,0.332,17.539
2025,2025isde1,Week 1,7177,11.814,1.084,13.072,0.851,-2.134,0.094,11.814
2025,2025isde1,Week 1,1943,11.612,-0.198,6.53,-0.831,5.396,-0.124,11.612
2025,2025isde1,Week 1,9304,11.501,2.072,6.552,0.018,3.044,-0.081,11.501
2025,2025isde1,Week 1,7067,11.393,4.317,4.687,1.122,2.356,0.047,11.393
2025,2025isde1,Week 1,6230,7.633,4.075,5.534,1.945,-2.02,0.152,7.633
2025,2025isde1,Week 1,10695,5.833,2.903,2.913,-2.02,0.011,-0.456,5.833
2025,2025isde1,Week 1,3835,4.556,1.944,4.465,0.477,-1.703,0.454,4.556
2025,2025isde1,Week 1,5928,0.825,1.301,-2.771,1.106,2.184,-0.414,0.825
2025,2025isde1,Week 1,9303,-0.943,2.151,-2.146,0.404,-0.819,-0.951,-0.943
2025,2025isde2,Week 1,5614,68.73,21.898,47.072,8.265,-0.24,2.418,68.73
2025,2025isde2,Week 1,2231,62.363,18.415,43.283,7.437,0.665,2.111,62.363
2025,2025isde2,Week 1,5990,61.522,16.649,41.215,3.435,3.658,2.49,61.522
2025,2025isde2,Week 1,2230,55.087,15.393,42.176,5.731,-2.482,1.975,55.087
2025,2025isde2,Week 1,3339,53.461,14.055,37.98,-0.122,1.426,1.884,53.461
2025,2025isde2,Week 1,1574,52.58,17.81,31.59,4.664,3.18,2.451,52.58
2025,2025isde2,Week 1,5987,43.206,5.603,36.691,3.791,0.912,1.218,43.206
