year,event,week,n_teams,n_alliances,winning_alliance,rank_cols
2023,2023isde1,Week 1,25,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023bcvi,Week 1,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023isde2,Week 1,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023flwp,Week 1,34,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023arli,Week 1,29,8,2,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mndu,Week 1,60,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mndu2,Week 1,59,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mxmo,Week 1,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023utwv,Week 1,44,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023gaalb,Week 1,21,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023miesc,Week 1,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
2023,2023mifor,Week 1,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Charge Station|Avg Auto|Record (W-L-T)|DQ|Played|Total Ranking Points*
