year,event,week,n_teams,n_alliances,winning_alliance,rank_cols
2025,2025isde1,Week 1,29,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025isde2,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mndu,Week 1,54,8,2,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mndu2,Week 1,54,8,2,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mxmo,Week 1,43,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025bcvi,Week 1,48,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025caoc,Week 1,47,8,2,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025miket,Week 1,40,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mimil,Week 1,39,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025txwac,Week 1,41,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025orsal,Week 1,36,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025camb,Week 1,35,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025caph,Week 1,46,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025gagai,Week 1,32,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025inmis,Week 1,36,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mefal,Week 1,30,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mibat,Week 1,38,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mifer,Week 1,40,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025milac,Week 1,37,8,2,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025nhsal,Week 1,36,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025onnew,Week 1,29,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025pahat,Week 1,32,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025vagle,Week 1,34,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025txtom,Week 1,34,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025wasno,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025tuis,Week 2,48,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025tuis2,Week 2,48,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025nysu,Week 2,49,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025qcmo,Week 2,37,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025arli,Week 2,30,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mose,Week 2,36,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025gadal,Week 2,31,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025mike2,Week 2,39,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025misjo,Week 2,40,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025onsca,Week 2,29,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025schar,Week 2,35,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025txbel,Week 2,41,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
2025,2025orore,Week 2,30,8,1,Rank|Team|Ranking Score|Avg Coop|Avg Match|Avg Auto|Avg Barge|Record (W-L-T)|DQ|Played|Total Ranking Points*
