year,event,week,n_teams,n_alliances,winning_alliance,rank_cols
2026,2026tuis,Week 1,32,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mndu,Week 1,42,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mndu2,Week 1,42,8,2,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mnwi,Week 1,41,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026okok,Week 1,46,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026bcvi,Week 1,44,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026gadal,Week 1,31,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026milak,Week 1,38,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026sccha,Week 1,27,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026txbel,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026orsal,Week 1,35,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026brba,Week 1,48,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026cosp,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026tuis2,Week 1,33,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026inmis,Week 1,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mabil,Week 1,29,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mefal,Week 1,20,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026miche,Week 1,39,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
2026,2026mimtp,Week 1,40,8,1,Rank|Team|Ranking Score|Avg Match|Avg Auto Fuel|Avg Tower|Record (W-L-T)|DQ|Played|Total Ranking Points*
