year,event,week,col_index,col_name,rank,team,value
2023,2023isde1,Week 1,2,Ranking Score,1,1577,3.16
2023,2023isde1,Week 1,3,Avg Match,1,1577,101.25
2023,2023isde1,Week 1,4,Avg Charge Station,1,1577,28.16
2023,2023isde1,Week 1,5,Avg Auto,1,1577,24.08
2023,2023isde1,Week 1,6,Record (W-L-T),1,1577,12-0-0
2023,2023isde1,Week 1,7,DQ,1,1577,0
2023,2023isde1,Week 1,8,Played,1,1577,12
2023,2023isde1,Week 1,9,Total Ranking Points*,1,1577,38
2023,2023isde1,Week 1,2,Ranking Score,2,1690,3.08
2023,2023isde1,Week 1,3,Avg Match,2,1690,95.75
2023,2023isde1,Week 1,4,Avg Charge Station,2,1690,31.66
2023,2023isde1,Week 1,5,Avg Auto,2,1690,25.66
2023,2023isde1,Week 1,6,Record (W-L-T),2,1690,11-1-0
2023,2023isde1,Week 1,7,DQ,2,1690,0
2023,2023isde1,Week 1,8,Played,2,1690,12
2023,2023isde1,Week 1,9,Total Ranking Points*,2,1690,37
2023,2023isde1,Week 1,2,Ranking Score,3,5654,2.41
2023,2023isde1,Week 1,3,Avg Match,3,5654,79.00
2023,2023isde1,Week 1,4,Avg Charge Station,3,5654,30.83
2023,2023isde1,Week 1,5,Avg Auto,3,5654,21.08
2023,2023isde1,Week 1,6,Record (W-L-T),3,5654,8-4-0
2023,2023isde1,Week 1,7,DQ,3,5654,0
2023,2023isde1,Week 1,8,Played,3,5654,12
2023,2023isde1,Week 1,9,Total Ranking Points*,3,5654,29
2023,2023isde1,Week 1,2,Ranking Score,4,2630,2.08
2023,2023isde1,Week 1,3,Avg Match,4,2630,77.00
2023,2023isde1,Week 1,4,Avg Charge Station,4,2630,26.83
2023,2023isde1,Week 1,5,Avg Auto,4,2630,18.33
2023,2023isde1,Week 1,6,Record (W-L-T),4,2630,8-4-0
2023,2023isde1,Week 1,7,DQ,4,2630,0
2023,2023isde1,Week 1,8,Played,4,2630,12
2023,2023isde1,Week 1,9,Total Ranking Points*,4,2630,25
2023,2023isde1,Week 1,2,Ranking Score,5,5990,1.75
2023,2023isde1,Week 1,3,Avg Match,5,5990,67.08
2023,2023isde1,Week 1,4,Avg Charge Station,5,5990,19.16
2023,2023isde1,Week 1,5,Avg Auto,5,5990,16.00
2023,2023isde1,Week 1,6,Record (W-L-T),5,5990,7-5-0
2023,2023isde1,Week 1,7,DQ,5,5990,0
2023,2023isde1,Week 1,8,Played,5,5990,12
2023,2023isde1,Week 1,9,Total Ranking Points*,5,5990,21
2023,2023isde1,Week 1,2,Ranking Score,6,2096,1.75
2023,2023isde1,Week 1,3,Avg Match,6,2096,66.66
2023,2023isde1,Week 1,4,Avg Charge Station,6,2096,25.83
2023,2023isde1,Week 1,5,Avg Auto,6,2096,19.41
2023,2023isde1,Week 1,6,Record (W-L-T),6,2096,6-6-0
2023,2023isde1,Week 1,7,DQ,6,2096,0
2023,2023isde1,Week 1,8,Played,6,2096,12
2023,2023isde1,Week 1,9,Total Ranking Points*,6,2096,21
2023,2023isde1,Week 1,2,Ranking Score,7,5135,1.66
2023,2023isde1,Week 1,3,Avg Match,7,5135,68.75
2023,2023isde1,Week 1,4,Avg Charge Station,7,5135,19.66
2023,2023isde1,Week 1,5,Avg Auto,7,5135,15.25
2023,2023isde1,Week 1,6,Record (W-L-T),7,5135,7-5-0
2023,2023isde1,Week 1,7,DQ,7,5135,0
2023,2023isde1,Week 1,8,Played,7,5135,12
2023,2023isde1,Week 1,9,Total Ranking Points*,7,5135,20
2023,2023isde1,Week 1,2,Ranking Score,8,7067,1.66
2023,2023isde1,Week 1,3,Avg Match,8,7067,61.16
2023,2023isde1,Week 1,4,Avg Charge Station,8,7067,27.33
2023,2023isde1,Week 1,5,Avg Auto,8,7067,17.66
2023,2023isde1,Week 1,6,Record (W-L-T),8,7067,6-6-0
2023,2023isde1,Week 1,7,DQ,8,7067,0
2023,2023isde1,Week 1,8,Played,8,7067,12
2023,2023isde1,Week 1,9,Total Ranking Points*,8,7067,20
2023,2023isde1,Week 1,2,Ranking Score,9,3211,1.66
2023,2023isde1,Week 1,3,Avg Match,9,3211,61.00
2023,2023isde1,Week 1,4,Avg Charge Station,9,3211,19.00
2023,2023isde1,Week 1,5,Avg Auto,9,3211,13.58
2023,2023isde1,Week 1,6,Record (W-L-T),9,3211,7-5-0
2023,2023isde1,Week 1,7,DQ,9,3211,0
