rule_id	prefix	num	page	chars	starred	sha1	headline
G1	G	1	34	472	0	8c803aeeea38	ROBOTS whose operation or design is dangerous or unsafe are not permitted.
G2	G	2	34	148	0	75b3ed834007	DRIVE TEAMS may only enter the FIELD if the TOWER LED strings are green, unless explicitly
G3	G	3	34	320	0	341845c181e6	ROBOTS and anything they control, e.g. a BOULDER, may not contact anything outside the FIELD
G4	G	4	34	583	0	57385ffe4235	DRIVE TEAMS may not extend any body part into the FIELD during the MATCH. Momentary
G5	G	5	34	229	0	59650760e650	DRIVE TEAMS may not climb over, step over, or walk over/across DEFENSES or PLATFORMS,
G6	G	6	34	171	0	858fcd8399ca	DRIVE TEAMS may only enter or exit the FIELD through open gates.
G7	G	7	35	1086	0	ac732dcb7f84	When placed on the FIELD for a MATCH, each ROBOT must be:
G8	G	8	35	915	0	d2200c28666b	DRIVE TEAMS may not cause significant or repeated delays to the start of a MATCH and/or to the
G9	G	9	35	400	0	2a2d13a21d9f	DRIVE TEAMS must be in their CASTLE and behind the STARTING LINE prior to the start of the
G10	G	10	36	676	0	6a80d2067986	ROBOTS will not be re-enabled after the conclusion of the MATCH, nor will Teams be permitted
G11	G	11	36	3710	0	241ff69cf1dc	Strategies aimed solely at forcing the opposing ALLIANCE to violate a rule are not in the spirit of
G13	G	13	37	346	0	aa6f4d1d0c1e	During AUTO, ROBOTS may not enter the volume above the MIDLINE.
G14	G	14	37	307	0	b2114cedd76f	During AUTO, DRIVE TEAMS may not directly or indirectly interact with ROBOTS or OPERATOR
G15	G	15	38	325	0	f15b1354c841	During AUTO, DRIVE TEAM members in the CASTLE may not contact anything in front of the
G16	G	16	38	162	0	da369ce0040e	Any control devices worn or held by the DRIVERS and/or HUMAN PLAYERS during AUTO must be
G17	G	17	38	837	0	e798c9479560	ROBOT height, as measured when it’s resting normally on a flat floor, may not exceed 4 ft. 6 in.
G18	G	18	39	653	0	1ee687b3bcb4	ROBOTS may not extend more than 15 in. beyond their FRAME PERIMETER.
G19	G	19	39	475	0	48514ff496d6	ROBOTS may not intentionally detach or leave parts on the FIELD.
G20	G	20	39	280	0	5305717880d0	ROBOTS may only enter or exit their opponent’s SECRET PASSAGE from/to the opponent’s
G21	G	21	39	379	0	d080892cdae6	A ROBOT contacting carpet in the opponent’s SECRET PASSAGE may not contact opposing
G22	G	22	40	1191	0	b51bc50c3a34	ROBOTS may not pin an opponent’s ROBOT for more than five (5) seconds. A ROBOT will be
G23	G	23	40	406	0	deb02a9feb81	Fallen (i.e. tipped over) ROBOTS attempting to right themselves (either by themselves or with
G24	G	24	40	510	0	f1155f3205ba	Strategies aimed at the destruction or inhibition of ROBOTS via attachment, damage, tipping,
G25	G	25	41	913	0	af4f6ce166d8	A ROBOT may not attempt to stop or impede the flow of the MATCH in any of the following ways:
G26	G	26	41	189	0	9cee020c44bb	At any given time, only one (1) ROBOT may contact the carpet or BATTER inside their
G27	G	27	41	122	0	5f0597261c7c	A ROBOT may not transfer BOULDERS from the NEUTRAL ZONE to the opponent’s SECRET
