rule_id	prefix	num	page	stmt_chars	viol_chars	inset_chars	stmt_sha1	headline
A1	A	1	60	630	35	0	0ba005bd9041	Behind the lines
A2	A	2	60	505	32	0	c71da1337637	During AUTO, let the ROBOT do its thing
A3	A	3	60	398	16	0	7ce70807dfcb	Disconnect or set down controllers
A4	A	4	60	308	93	0	2d1b1ac55451	Stay out of your opponent’s side of the FIELD
A5	A	5	60	135	31	0	ae85dc627427	POWER CUBES are off-limits
C1	C	1	47	423	0	0	6b23a9edce3c	Egregious or exceptional violations
C2	C	2	47	818	100	0	a5a5c54e184f	Be a good person
C3	C	3	47	1291	100	0	a17548eda015	Asking other Teams to throw a MATCH – not cool
C4	C	4	47	1335	100	0	4148681a757f	Letting someone coerce you in to throwing a MATCH – also not cool
C5	C	5	48	722	94	0	330d85001f90	Compete with only one (1) ROBOT
C6	C	6	48	330	90	0	ec7ce859e9d6	Show up to your MATCHES
C7	C	7	49	1018	69	0	61c656bb5354	Don’t expect to gain by doing others harm
C8	C	8	49	251	86	0	91e3ead74fb6	One student, one Head REFEREE
C9	C	9	50	822	98	0	fb1916ac9705	Plug in to/be in your PLAYER STATION
C10	C	10	50	595	89	0	2690515091fd	No work outside your pit
G1	G	1	51	903	103	0	ba539b2024b4	Know your ROBOT setup
G2	G	2	51	842	93	0	f85acd0a4e95	Be prompt/safe when coming to and going from the FIELD
G3	G	3	52	636	65	0	f04f9086063a	Know your DRIVE TEAM positions
G4	G	4	52	256	65	0	8e01517e4724	Leave the POWER CUBES alone
G5	G	5	52	762	90	0	61c5f115d096	Don’t overextend yourself
G6	G	6	53	242	19	0	ec3fb5fc8f34	Keep it together
G7	G	7	53	202	90	0	e55d506bfc46	Keep your BUMPERS together
G8	G	8	53	928	23	0	e1b97a36efb7	ROBOTS must be removed from the FIELD by hand (i
G9	G	9	53	1108	92	0	81d2a91375ce	Launching POWER CUBES is okay, but keep it short
G10	G	10	54	574	94	0	8dbae3a40ad9	Don’t tear others down to lift yourself up
G11	G	11	55	559	32	0	b1fcfe7d2f73	Stay out of other ROBOTS
G12	G	12	55	512	40	0	837d089a110f	Don’t collude with your partners to shut down major parts of game play
G13	G	13	55	394	45	0	606e415e35cc	If an opponent’s down, back off
G14	G	14	55	1028	97	0	d1f2f8eec453	There’s a 5-count on pins
G15	G	15	55	913	97	0	d9cfd95bfc6e	Opponent’s EXCHANGE ZONE: no camping
G16	G	16	56	588	20	0	09c519a433d5	The NULL TERRITORY is safe
G17	G	17	56	227	21	0	4738d5b8b733	Don’t climb on each other until the end
G18	G	18	56	474	90	0	c7493796ac2e	Don’t mess with opponents in their PLATFORM ZONE
G19	G	19	56	1444	96	0	e509d54ab765	Be careful about what you interact with
G20	G	20	57	542	93	0	bb7ad1bbfe1e	POWER CUBES: use as directed
G21	G	21	57	199	95	0	f92ac9a43a16	Keep POWER CUBES in bounds
G22	G	22	57	1464	89	0	7b323f219c1d	One POWER CUBE per ROBOT
G23	G	23	58	451	38	0	1b6f462dd7af	POWER CUBES in opponent’s POWER CUBE ZONE – off limits
G24	G	24	58	310	43	0	b3d09e935dc2	POWER CUBES stay on PLATES
G25	G	25	58	1697	93	0	76fc4074e207	PLATES are moved by POWER CUBES, not ROBOTS
H1	H	1	60	258	44	0	254bd0589712	COACHES and other Teams: hands off the controls
H2	H	2	61	220	23	0	e8fe1b460e62	Wireless devices not allowed
H3	H	3	61	229	37	0	17ed300ddeb9	Don’t trick the sensors
H4	H	4	61	120	65	0	a8a661ca345d	By invitation only
H5	H	5	61	598	101	0	a364126f7172	Identify yourself
H6	H	6	61	315	40	0	f006a6a04884	No wandering
H7	H	7	61	1973	95	0	1db3152ac6f7	You can’t bring/use anything you want
H8	H	8	62	542	22	0	d90bee24de14	Don’t abuse ARCADE access
H9	H	9	62	210	20	0	ca692d87cd79	Don’t mess with the POWER CUBES
H10	H	10	62	107	100	0	6e0f0d6ba682	It doesn’t support you
H11	H	11	62	102	34	0	68276e09d625	COACHES, no POWER CUBES
H12	H	12	62	150	33	0	0ac3ec8752a1	COACHES, stay clear of the VAULT
H13	H	13	63	569	55	0	e2fdcc6a87ca	POWER CUBES only enter the FIELD as designated
H14	H	14	63	9197	99	0	3b14b3c05237	POWER CUBES stay in the VAULT
I1	I	1	103	884	0	0	b2f96cad0fe1	The ROBOT must be built by the Team to play FIRST® POWER UPSM
I2	I	2	103	673	100	0	93bc38e8321a	Get inspected before playing a Qualification/Playoff MATCH
I3	I	3	103	576	0	0	ac8981fcd98c	Bring it all to Inspection
I4	I	4	104	2607	0	0	723854afb10e	Unless the change is listed below, any change to a ROBOT must get re-inspected
I5	I	5	105	436	0	0	61ed00413743	Document your costs
I6	I	6	105	931	0	0	2aad5f563e30	ROBOTS are off for Inspection, mostly
I7	I	7	105	2097	0	0	f77272ed9655	No student, no Inspection
R1	R	1	66	1066	0	0	623708e7071f	The ROBOT (excluding BUMPERS) must have a FRAME PERIMETER, contained within the BUMPER ZONE, that is comprised of fixed,
R2	R	2	67	679	0	0	a1e0264c75a1	In the STARTING CONFIGURATION (the physical configuration in which a ROBOT starts a MATCH), no part of the ROBOT shall e
R3	R	3	67	721	0	0	92162733a7da	In the STARTING CONFIGURATION, the maximum ROBOT size (excluding BUMPERS) must be constrained to a volume of 33 in
R4	R	4	67	131	0	0	0053b429f16f	ROBOTS may not extend more than 16 in
R5	R	5	67	606	0	0	af20ba841c27	The ROBOT weight must not exceed 120 lbs
R6	R	6	68	325	0	0	1bef967b72dc	Traction devices must not have surface features such as metal, sandpaper, hard plastic studs, cleats, hook-loop fastener
R7	R	7	68	437	0	0	0704cbcaa337	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the ARCADE elements (including th
R8	R	8	68	2086	0	0	c490cf4255d8	ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition, or interfere with the oper
R9	R	9	69	262	0	0	c2d63d7c9394	ROBOTS must allow removal of POWER CUBES from the ROBOT and the ROBOT from FIELD elements while DISABLED and powered off
