id,min_consecutive_sim,first_last_sim,sim_2022->2023,sim_2023->2024,sim_2024->2025,sim_2025->2026,tu_changed_years,title
R408,0.017,0.019,0.942,0.944,0.017,0.995,2022|2023|2024|2025|2026,Weight limit with BUMPERS.
G405,0.095,0.187,0.776,0.095,0.371,0.273,2026,Keep SCORING ELEMENTS in bounds.
G104,0.128,0.129,1.000,0.128,0.998,1.000,2022|2023|2024|2025|2026,Teams may not enable their ROBOTS on the FIELD.
G204,0.131,0.167,0.990,0.131,0.986,0.993,2022|2023|2024|2025|2026,Letting someone coerce you into throwing a MATCH – also not cool.
G209,0.137,0.372,0.302,0.282,0.137,1.000,2024|2025|2026,Keep your ROBOT together.
R906,0.141,0.137,0.946,0.938,0.141,1.000,2022|2023|2024|2025|2026,No unsafe OPERATOR CONSOLES.
G202,0.150,0.144,1.000,0.150,0.986,1.000,2022|2023|2024|2025|2026,Don’t bang on the glass.
G205,0.163,0.177,0.876,0.163,0.991,1.000,2022|2023|2024|2025|2026,Throwing your own MATCH is bad.
G103,0.166,0.216,1.000,0.166,0.993,0.788,2022|2023|2024|2025|2026,Be careful what you interact with.
R402,0.167,0.155,1.000,1.000,0.167,0.937,2022|2023|2024|2025|2026,BUMPER construction.
G201,0.167,0.214,0.683,0.167,0.998,1.000,2022|2023|2024|2025|2026,Be a good person.
G302,0.170,0.190,0.332,0.170,0.994,0.429,2024|2025|2026,Limit what you use during a MATCH
R717,0.181,0.181,1.000,1.000,0.181,1.000,2022|2023|2024|2025|2026,USB to CAN adapter permitted.
R503,0.182,0.185,0.982,0.182,1.000,0.948,2022|2023|2024|2025|2026,Don’t modify motors (mostly).
G206,0.184,0.213,0.858,0.184,0.720,0.921,2022|2023|2024|2025|2026,Don't violate rules for RPs.
R302,0.190,0.199,0.951,0.992,0.190,1.000,2022|2023|2024|2025|2026,"MAJOR MECHANISM, from this year only."
R502,0.196,0.161,0.991,0.196,0.995,0.922,2022|2023|2024|2025|2026,Only 4 propulsion motors.
G301,0.198,0.195,0.970,0.198,0.991,0.975,2024|2025|2026,Be prompt.
G203,0.202,0.219,0.910,0.202,0.993,0.996,2022|2023|2024|2025|2026,Asking other teams to throw a MATCH – not cool.
R505,0.202,0.183,0.936,0.202,0.934,0.793,2022|2023|2024|2025|2026,Don’t overload controllers.
G401,0.203,0.220,0.757,0.203,0.948,1.000,2022|2023|2024|2025|2026,Behind the lines.
G404,0.206,0.332,0.302,0.206,0.357,0.244,2026,ROBOTS: use SCORING ELEMENTS as directed.
R410,0.206,0.199,0.968,0.984,0.206,1.000,2022|2023|2024|2025|2026,BUMPERS must come off.
G403,0.219,0.201,0.601,0.430,0.219,0.294,,Limited AUTO opponent interaction.
R406,0.235,0.149,0.966,0.922,0.235,0.797,2022|2023|2024|2025|2026,Fill BUMPER corners.
G207,0.236,0.133,0.287,0.236,0.965,0.993,2024|2025|2026,Don’t abuse ARENA access.
G402,0.237,0.232,0.678,0.237,0.867,0.956,2022|2023|2024|2025|2026,Let the ROBOT do its thing.
R504,0.243,0.269,0.925,0.243,0.949,0.890,2022|2023|2024|2025|2026,Power (most) actuators off of approved devices.
G102,0.251,0.228,0.889,0.251,0.997,0.925,2022|2023|2024|2025|2026,Never step over the guardrail.
R404,0.255,0.225,1.000,1.000,0.255,0.884,2022|2023|2024|2025|2026,BUMPERS must be soft.
R405,0.256,0.294,0.963,0.975,0.256,0.557,2022|2023|2024|2025|2026,BUMPERS interact with BUMPERS.
G101,0.289,0.314,0.989,0.289,0.985,0.776,2022|2023|2024|2025|2026,"Humans, remain outside the FIELD."
G208,0.296,0.268,0.296,0.317,0.983,0.949,2024|2025|2026,Show up to your Qualification MATCHES.
R401,0.298,0.386,0.974,0.298,0.976,0.650,2022|2023|2024|2025|2026,BUMPERS almost all around.
R409,0.313,0.286,0.933,1.000,0.332,0.313,2022|2023|2024|2025|2026,BUMPERS should be passive.
R407,0.338,0.324,1.000,1.000,0.338,0.947,2022|2023|2024|2025|2026,BUMPERS shouldn’t be wedges.
R617,0.424,0.378,1.000,0.947,0.844,0.424,2022|2023|2024|2025|2026,Power radio as specified – Part 2.
R615,0.484,0.545,1.000,0.888,0.775,0.484,2022|2023|2024|2025|2026,Power roboRIO as specified.
R716,0.496,0.552,1.000,1.000,0.496,0.988,2022|2023|2024|2025|2026,Don’t alter the CAN bus.
I107,0.529,0.500,0.821,0.529,0.952,0.944,2022|2023|2024|2025|2026,"No STUDENT, no inspection."
R613,0.569,0.553,0.569,1.000,0.994,0.985,2022|2023|2024|2025|2026,Electrical system must be inspectable.
R703,0.578,0.542,1.000,0.994,0.578,0.855,2022|2023|2024|2025|2026,Use specific Ethernet port for roboRIO.
R814,0.603,0.603,1.000,0.603,1.000,1.000,2022|2023|2024|2025|2026,Don’t connect solenoid outputs together.
R616,0.622,0.695,1.000,0.920,0.836,0.622,2022|2023|2024|2025|2026,Power radio as specified – Part 1.
R205,0.624,0.541,0.882,1.000,1.000,0.624,2022|2023|2024|2025|2026,Don’t contaminate the FIELD.
R202,0.636,0.576,0.928,0.962,0.953,0.636,2022|2023|2024|2025|2026,No exposed sharp edges.
R403,0.636,0.542,1.000,1.000,0.636,0.843,2022|2023|2024|2025|2026,BUMPER extension limit.
