year,A,C,E,G,H,I,Q,R,S,T,TOTAL,body_chars
2015,0,0,0,34,0,0,0,84,0,19,137,138205
2016,0,0,0,43,0,0,0,95,0,37,175,178910
2017,5,13,0,28,15,9,0,101,12,26,209,192199
2018,5,10,0,25,14,7,0,102,6,22,191,193259
2019,0,11,0,24,16,7,0,100,6,5,169,164455
2020,0,10,0,26,16,8,0,93,6,4,163,128240
2021,0,11,0,26,16,8,0,93,6,3,163,113323
2022,0,0,0,26,33,7,0,92,0,4,162,128828
2023,0,0,0,29,34,7,0,93,0,13,176,145769
2024,0,1,47,50,0,7,1,95,0,12,213,149900
2025,0,1,52,55,0,7,1,97,0,13,226,154294
2026,0,1,55,47,0,7,2,99,0,13,224,161408
