rule_id	prefix	s2425	s2526	min	headline
R408	R	0.0173	0.913	0.0173	Weight limit with BUMPERS.
E115	E	0.0208	1.0	0.0208	No firearms.
E701	E	0.0299	1.0	0.0299	Carts must be safe and easy to use.
T605	T	0.0412	1.0	0.0412	Picks are time limited.
E602	E	0.044	0.987	0.044	Practice only when/where permitted.
E601	E	0.0444	0.8627	0.0444	Inspection for TEST & PRACTICE AREAS.
G211	G	0.0449	0.8088	0.0449	Egregious or exceptional violations.
G411	G	0.045	0.2022	0.045	Don’t damage the FIELD
G418	G	0.0494	0.1065	0.0494	There’s a 3-count on PINS.
E702	E	0.0513	0.875	0.0513	Carts shouldn’t be too big.
E802	E	0.0513	1.0	0.0513	Pit person limit during Ceremonies is 5.
R402	R	0.052	0.8992	0.052	BUMPER construction.
G423	G	0.1011	0.0521	0.0521	DRIVE TEAMS, watch your reach.
E603	E	0.0522	0.9405	0.0522	TEST/PRACTICE AREA attendance is limited.
G210	G	0.0532	0.6705	0.0532	Don’t expect to gain by doing others harm.
G212	G	0.055	0.9873	0.055	All teams can play.
G425	G	0.0576	0.0752	0.0576	SCORING ELEMENT delivery.
G412	G	0.0581	0.1008	0.0581	Watch your FIELD interaction.
G426	G	0.0755	0.0606	0.0606	DRIVE COACHES, SCORING ELEMENTS are off limits.
G417	G	0.0613	0.1141	0.0613	Don’t tip or entangle.
G420	G	0.0645	0.2308	0.0645	TOWER protection.
E117	E	0.0656	0.0761	0.0656	Do not record anyone at the event without their consent.
G209	G	0.0659	1.0	0.0659	Keep your ROBOT together.
E114	E	0.068	0.746	0.068	Limit flag and flagpole size.
G416	G	0.1422	0.0712	0.0712	This isn’t combat robotics.
R404	R	0.0746	0.8302	0.0746	BUMPERS must be soft.
R406	R	0.0754	0.7305	0.0754	Fill BUMPER corners.
G414	G	0.1333	0.0755	0.0755	Don’t Climb on each other.
G413	G	0.0887	0.0757	0.0757	Expansion limits.
E606	E	0.08	0.8235	0.08	Be safe.
E116	E	0.0811	1.0	0.0811	Only COTS batteries allowed.
E703	E	0.0816	1.0	0.0816	Carts can’t park anywhere.
G404	G	0.2778	0.0889	0.0889	ROBOTS: use SCORING ELEMENTS as directed.
E801	E	0.0896	0.9892	0.0896	If in the pits during Ceremonies, shhhhhh.
R407	R	0.0903	0.9517	0.0903	BUMPERS shouldn’t be wedges.
G415	G	0.095	0.1049	0.095	Stay out of other ROBOTS.
E113	E	0.0958	0.979	0.0958	Hang banners with care.
R302	R	0.0998	1.0	0.0998	MAJOR MECHANISM, from this year only.
G421	G	0.18	0.1004	0.1004	No wandering.
R410	R	0.1006	1.0	0.1006	BUMPERS must come off.
R717	R	0.1008	1.0	0.1008	USB to CAN adapter permitted.
E112	E	0.1053	1.0	0.1053	Make FIRST loud, but with restrictions.
E605	E	0.1053	1.0	0.1053	Be ready to DISABLE.
G408	G	0.1084	0.1404	0.1084	Don’t catch FUEL
E110	E	0.1096	1.0	0.1096	Don’t sell stuff.
E604	E	0.1163	0.8723	0.1163	Give ROBOTS space.
T604	T	0.1176	1.0	0.1176	Only the ALLIANCE CAPTAIN may invite an ALLIANCE.
G403	G	0.119	0.4688	0.119	Limited AUTO opponent interaction.
T602	T	0.1194	1.0	0.1194	STUDENTS must outnumber adults.
G427	G	0.1644	0.125	0.125	The OUTPOST has a storage limit.
R405	R	0.125	0.4603	0.125	BUMPERS interact with BUMPERS.
G410	G	0.1259	0.1758	0.1259	Keep your BUMPERS low
R409	R	0.1333	0.2571	0.1333	BUMPERS should be passive.
G422	G	0.1947	0.1343	0.1343	DRIVE COACHES and other teams: hands off the controls.
T606	T	0.136	0.8281	0.136	Declining teams can’t be picked.
T610	T	0.1376	1.0	0.1376	BACKUP TEAMS due 2 minutes before the MATCH start time.
G424	G	0.1405	0.1538	0.1405	Humans: use SCORING ELEMENTS as directed.
G409	G	0.3877	0.1458	0.1458	ROBOTS must be safe.
E108	E	0.1527	0.8739	0.1527	Some things don’t belong at events.
E107	E	0.1548	0.7091	0.1548	Work in designated areas only.
T603	T	0.1558	1.0	0.1558	Only STUDENTS may use the mic.
G406	G	0.7089	0.17	0.17	Don’t abuse SCORING ELEMENTS.
G419	G	0.188	0.2124	0.188	Don’t collude with your partners to shut down major parts of game play.
E109	E	0.1957	1.0	0.1957	Don’t arrange for additional utilities.
G405	G	0.2933	0.2647	0.2647	Keep SCORING ELEMENTS in bounds.
T601	T	0.3184	1.0	0.3184	Send your STUDENT representatives.
R403	R	0.3226	0.7	0.3226	BUMPER extension limit.
G407	G	0.7654	0.3243	0.3243	Only score while in your ALLIANCE ZONE.
