rule_id	prefix	headline	class	excl_kind_newest	depth	earliest_year	verbatim_steps	edited_steps	rewritten_steps	renumber_steps	min_step_sim	recent3_moved	recent3_rewritten	steps
R201	R	No digging into carpet.	EVERGREEN	VERBATIM	11	2015	6	5	0	6	0.8627	0	0	2025>2026:R201=1.00 2024>2025:R201=1.00 2023>2024:R201=0.97 2022>2023:R201=1.00 2021>2022:R6>R201=0.96 2020>2021:R6=1.00 2019>2020:R7>R6=0.86 2018>2019:R6>R7=0.98 2017>2018:R5>R6=0.93 2016>2017:R6>R5=0.95 2015>2016:R5>R6=0.93
R203	R	General safety.	EVERGREEN	MINOR	11	2015	4	7	0	6	0.8217	2	0	2025>2026:R203=0.89 2024>2025:R203=1.00 2023>2024:R203=0.96 2022>2023:R203=1.00 2021>2022:R8>R203=0.92 2020>2021:R8=0.98 2019>2020:R9>R8=0.82 2018>2019:R8>R9=0.85 2017>2018:R7>R8=0.99 2016>2017:R9>R7=0.86 2015>2016:R8>R9=0.88
R410	R	BUMPERS must come off.	EVERGREEN	VERBATIM	10	2016	8	2	0	5	0.8471	1	0	2025>2026:R410=1.00 2024>2025:R404>R410=0.96 2023>2024:R404=1.00 2022>2023:R404=1.00 2021>2022:R20>R404=0.85 2020>2021:R20=1.00 2019>2020:R27>R20=1.00 2018>2019:R26>R27=1.00 2017>2018:R25>R26=1.00 2016>2017:R25=1.00
R603	R	Charge batteries with safe connectors.	EVERGREEN	VERBATIM	9	2017	8	1	0	4	0.8718	0	0	2025>2026:R603=1.00 2024>2025:R603=1.00 2023>2024:R603=1.00 2022>2023:R603=1.00 2021>2022:R34>R603=0.87 2020>2021:R34=1.00 2019>2020:R41>R34=1.00 2018>2019:R40>R41=1.00 2017>2018:R38>R40=1.00
R604	R	Charge batteries at a safe rate.	EVERGREEN	VERBATIM	9	2017	6	3	0	4	0.875	1	0	2025>2026:R604=1.00 2024>2025:R604=1.00 2023>2024:R604=0.96 2022>2023:R604=1.00 2021>2022:R35>R604=0.88 2020>2021:R35=1.00 2019>2020:R42>R35=1.00 2018>2019:R41>R42=1.00 2017>2018:R39>R41=0.88
R605	R	Batteries are not ballast.	EVERGREEN	VERBATIM	11	2015	7	4	0	6	0.875	0	0	2025>2026:R605=1.00 2024>2025:R605=1.00 2023>2024:R605=1.00 2022>2023:R605=1.00 2021>2022:R36>R605=0.90 2020>2021:R36=1.00 2019>2020:R43>R36=0.88 2018>2019:R42>R43=0.95 2017>2018:R40>R42=0.95 2016>2017:R32>R40=0.97 2015>2016:R21>R32=0.97
R606	R	Secure the battery.	EVERGREEN	VERBATIM	11	2015	9	2	0	6	0.8302	0	0	2025>2026:R606=1.00 2024>2025:R606=1.00 2023>2024:R606=1.00 2022>2023:R606=1.00 2021>2022:R37>R606=0.95 2020>2021:R37=1.00 2019>2020:R44>R37=1.00 2018>2019:R43>R44=1.00 2017>2018:R41>R43=0.83 2016>2017:R33>R41=1.00 2015>2016:R22>R33=1.00
R607	R	Insulate battery connections.	EVERGREEN	VERBATIM	11	2015	9	2	0	6	0.9474	0	0	2025>2026:R607=1.00 2024>2025:R607=1.00 2023>2024:R607=1.00 2022>2023:R607=1.00 2021>2022:R38>R607=0.95 2020>2021:R38=1.00 2019>2020:R45>R38=1.00 2018>2019:R44>R45=1.00 2017>2018:R42>R44=1.00 2016>2017:R34>R42=1.00 2015>2016:R23>R34=0.96
R608	R	Limit non-battery energy.	EVERGREEN	VERBATIM	11	2015	7	4	0	6	0.8177	0	0	2025>2026:R608=1.00 2024>2025:R608=1.00 2023>2024:R608=1.00 2022>2023:R608=1.00 2021>2022:R39>R608=0.89 2020>2021:R39=0.95 2019>2020:R46>R39=0.97 2018>2019:R45>R46=0.99 2017>2018:R43>R45=0.97 2016>2017:R35>R43=0.90 2015>2016:R24>R35=0.82
R611	R	The ROBOT frame is not a wire.	EVERGREEN	VERBATIM	11	2015	4	7	0	6	0.8211	0	0	2025>2026:R611=0.98 2024>2025:R611=0.99 2023>2024:R611=1.00 2022>2023:R611=0.99 2021>2022:R42>R611=0.88 2020>2021:R42=0.97 2019>2020:R49>R42=0.94 2018>2019:R48>R49=0.93 2017>2018:R46>R48=0.95 2016>2017:R38>R46=0.82 2015>2016:R27>R38=0.82
