year_a,year_b,id_a,id_b,sim
2015,2016,G1,G1,0.9419
2015,2016,G2,G2,0.7451
2015,2016,G27,G3,0.6909
2015,2016,G4,G4,0.5799
2015,2016,G3,G5,0.4444
2015,2016,G3,G6,0.5
2015,2016,G7,G7,0.6374
2015,2016,G10,G8,0.5513
2015,2016,G12,G9,0.5347
2015,2016,G14,G10,0.6919
2015,2016,G16,G11,0.1908
2015,2016,G19,G13,0.2472
2015,2016,G19,G14,0.4
2015,2016,G19,G15,0.3908
2015,2016,G20,G16,0.7778
2015,2016,G22,G17,0.2449
2015,2016,G22,G18,0.1961
2015,2016,G25,G19,0.6167
2015,2016,G24,G20,0.2268
2015,2016,G23,G21,0.3048
2015,2016,G18,G22,0.1493
2015,2016,G24,G23,0.1786
2015,2016,G26,G24,0.4717
2015,2016,G18,G25,0.1538
2015,2016,G8,G26,0.2456
2015,2016,G24,G27,0.2353
2015,2016,G27,G28,0.1566
2015,2016,G19,G29,0.2727
2015,2016,G29,G30,0.7342
2015,2016,G28,G31,0.7297
2015,2016,G4,G32,0.3419
2015,2016,G33,G33,0.2667
2015,2016,G7,G34,0.1343
2015,2016,G32,G35,0.8723
2015,2016,G31,G36,0.64
2015,2016,G30,G37,0.3571
2015,2016,G10,G38,0.1616
2015,2016,G23,G39,0.2476
2015,2016,T15,G40,0.1178
2015,2016,G33,G42,0.2462
2015,2016,G11,G43,0.1405
2015,2016,G22,G44,0.1683
2015,2016,G34,G45,0.67
2015,2016,R1,R1,0.7411
2015,2016,R54,R2,0.1284
2015,2016,R3,R3,0.4641
2015,2016,G32,R4,0.1562
2015,2016,R4,R5,0.8791
2015,2016,R5,R6,0.9278
2015,2016,R6,R7,0.6809
2015,2016,R7,R8,0.9006
2015,2016,R8,R9,0.8814
2015,2016,R9,R10,0.8359
2015,2016,R10,R11,0.9623
2015,2016,R11,R12,0.9549
2015,2016,R12,R13,0.8621
2015,2016,R13,R14,0.9544
2015,2016,R14,R15,0.6393
2015,2016,R15,R16,0.9213
2015,2016,R16,R17,0.95
2015,2016,R17,R18,0.8289
2015,2016,R73,R19,0.1954
2015,2016,R78,R20,0.1939
2015,2016,R17,R21,0.1213
2015,2016,G18,R22,0.1209
2015,2016,R51,R23,0.2759
2015,2016,R73,R24,0.3038
2015,2016,R29,R25,0.1754
2015,2016,R54,R26,0.1548
2015,2016,R2,R27,0.3189
2015,2016,R18,R29,0.7553
2015,2016,R19,R30,0.8853
2015,2016,R20,R31,0.9606
2015,2016,R21,R32,0.9744
2015,2016,R22,R33,1.0
2015,2016,R23,R34,0.963
2015,2016,R24,R35,0.8177
2015,2016,R25,R36,0.9534
2015,2016,R26,R37,0.82
2015,2016,R27,R38,0.8211
2015,2016,R28,R39,0.9903
2015,2016,R29,R40,1.0
2015,2016,R30,R41,0.5135
2015,2016,R31,R42,0.9167
2015,2016,R32,R43,0.4667
2015,2016,R33,R44,0.8866
2015,2016,R34,R45,0.7484
2015,2016,R35,R46,1.0
2015,2016,R36,R47,0.96
2015,2016,R37,R48,0.7227
2015,2016,R38,R49,0.758
2015,2016,R39,R50,1.0
2015,2016,R40,R51,0.9889
2015,2016,R41,R52,0.7575
2015,2016,R42,R53,0.9045
2015,2016,R43,R54,0.6765
2015,2016,R62,R55,0.5231
2015,2016,R45,R56,0.9244
2015,2016,R46,R57,0.7107
2015,2016,R47,R58,0.95
2015,2016,R48,R59,0.9744
2015,2016,R49,R60,0.9045
2015,2016,R50,R61,0.9667
2015,2016,R51,R62,1.0
2015,2016,R52,R63,0.3571
2015,2016,R53,R64,1.0
2015,2016,R54,R65,0.9495
2015,2016,R55,R66,0.9543
2015,2016,R56,R67,0.7164
2015,2016,R57,R68,0.8952
2015,2016,R58,R69,0.6887
2015,2016,R59,R70,0.963
2015,2016,R60,R71,1.0
2015,2016,R61,R72,0.9828
2015,2016,R62,R73,0.646
2015,2016,R63,R74,0.9375
2015,2016,R64,R75,0.92
2015,2016,R65,R76,1.0
2015,2016,R66,R77,0.8065
2015,2016,R67,R78,0.9462
2015,2016,R68,R79,0.8846
2015,2016,R69,R80,0.8932
2015,2016,R70,R81,1.0
2015,2016,R71,R82,0.962
2015,2016,R72,R83,1.0
2015,2016,R73,R84,0.7213
2015,2016,R74,R85,0.803
2015,2016,R75,R86,0.9167
2015,2016,R76,R87,0.897
2015,2016,R77,R88,0.9956
2015,2016,R78,R89,0.9881
2015,2016,R79,R90,0.5556
2015,2016,R80,R91,0.9722
2015,2016,R81,R92,0.7708
2015,2016,R82,R93,0.9917
2015,2016,R83,R94,0.8902
2015,2016,R52,R95,0.3182
2015,2016,R84,R96,0.4033
2015,2016,T1,T1,0.7879
2015,2016,T1,T2,0.4706
2015,2016,T3,T3,0.4048
2015,2016,T3,T4,0.7928
2015,2016,T5,T5,0.7737
2015,2016,G15,T6,0.6986
2015,2016,G15,T7,0.1145
2015,2016,G15,T8,0.1486
2015,2016,G29,T9,0.2632
2015,2016,G32,T10,0.2683
2015,2016,T6,T11,0.5585
2015,2016,T8,T12,0.9069
2015,2016,T5,T13,0.2347
2015,2016,T9,T14,1.0
2015,2016,T10,T15,0.814
2015,2016,T11,T16,0.8592
2015,2016,T12,T17,0.8034
2015,2016,T13,T18,1.0
2015,2016,T14,T19,0.7413
2015,2016,T15,T20,0.6048
2015,2016,T16,T21,0.7376
2015,2016,T17,T22,0.8976
2015,2016,T18,T23,0.9487
2015,2016,T19,T24,0.9561
2015,2016,T20,T25,0.5735
2015,2016,T21,T26,0.2656
2015,2016,R36,T27,0.1429
2015,2016,T8,T28,0.2
2015,2016,G33,T29,0.1639
2015,2016,G12,T30,0.3
2015,2016,R52,T31,0.2222
2015,2016,T19,T32,0.1226
2015,2016,T19,T33,0.2327
