year_a,year_b,id_a,id_b,sim,kind,headline_b
2015,2016,R22,R33,1.0,VERBATIM+RENUMBERED,The ROBOT battery must be secured such that it will not dislodge should the ROBOT be turned
2015,2016,R29,R40,1.0,VERBATIM+RENUMBERED,The PDP and all circuit breakers must be easily visible for Inspection.
2015,2016,R35,R46,1.0,VERBATIM+RENUMBERED,The only circuit breakers permitted for use in the PDP are:
2015,2016,R39,R50,1.0,VERBATIM+RENUMBERED,"Branch circuits may include intermediate elements such as COTS connectors, splices, COTS"
2015,2016,R51,R62,1.0,VERBATIM+RENUMBERED,All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via
2015,2016,R53,R64,1.0,VERBATIM+RENUMBERED,The Wireless Bridge must be mounted on the ROBOT such that the diagnostic lights are visible to
2015,2016,R60,R71,1.0,VERBATIM+RENUMBERED,Each PCM must be controlled with signal inputs sourced from the roboRIO and passed via a CAN-
2015,2016,R65,R76,1.0,VERBATIM+RENUMBERED,"All pneumatic COMPONENTS must be used in their original, unaltered condition. Exceptions are as"
2015,2016,R70,R81,1.0,VERBATIM+RENUMBERED,“Stored” air pressure on the ROBOT must be no greater than 120 psi. No stored air pressure
2015,2016,R72,R83,1.0,VERBATIM+RENUMBERED,"Only the compressor, relief valve (P/N: 16-004-011), pressure switch, pressure vent plug, pressure"
2015,2016,T9,T14,1.0,VERBATIM+RENUMBERED,"At the time of Inspection, the ROBOT must be presented with all MECHANISMS (including all"
2015,2016,T13,T18,1.0,VERBATIM+RENUMBERED,"For the safety of all those involved, Inspections must take place with the ROBOT powered off,"
2015,2016,R77,R88,0.9956,VERBATIM+RENUMBERED,The pressure switch requirements are:
2015,2016,R82,R93,0.9917,VERBATIM+RENUMBERED,Devices hosting the Driver Station software must only interface with the Field Management System
2015,2016,R28,R39,0.9903,VERBATIM+RENUMBERED,The 120A circuit breaker must be quickly accessible from the exterior of the ROBOT. This is the
2015,2016,R40,R51,0.9889,VERBATIM+RENUMBERED,"All non-SIGNAL LEVEL wiring with a constant polarity (i.e., except for outputs of relay modules,"
2015,2016,R78,R89,0.9881,VERBATIM+RENUMBERED,Any pressure vent plug must be:
2015,2016,R61,R72,0.9828,VERBATIM+RENUMBERED,The PDP CAN interface must be connected to the CAN-bus on the roboRIO (either directly or
2015,2016,R21,R32,0.9744,VERBATIM+RENUMBERED,"No batteries other than those allowed per R31 are allowed on the ROBOT, whether or not they are"
2015,2016,R48,R59,0.9744,VERBATIM+RENUMBERED,Ethernet-connected COTS devices or CUSTOM CIRCUITS may connect to any remaining Ethernet
2015,2016,R80,R91,0.9722,VERBATIM+RENUMBERED,The Driver Station software provided on the National Instruments website is the only application
2015,2016,R50,R61,0.9667,MINOR+RENUMBERED,"The roboRIO, Driver Station software, and Wireless Bridge must be configured to correspond to"
2015,2016,R23,R34,0.963,MINOR+RENUMBERED,"Each electrical terminal on the ROBOT battery, main breaker, and their connections (lugs, stripped"
