rule_id,prefix,class,qa_2024_26,tu_2024_26,recent3_moved,recent3_rewritten,score,headline
R402,R,GAME-SPECIFIC,28,7,1,0,6.1667,BUMPER construction.
G416,G,GAME-SPECIFIC,23,11,0,0,5.7976,This isn’t combat robotics.
G415,G,ANCHORED-CONCEPT,17,12,2,1,5.7214,Stay out of other ROBOTS.
G211,G,ANCHORED,26,8,3,0,5.619,Egregious or exceptional violations.
R401,R,ANCHORED-CONCEPT,22,3,2,1,4.7571,BUMPERS almost all around.
G413,G,GAME-SPECIFIC,22,5,0,0,4.6905,Expansion limits.
G419,G,ANCHORED-CONCEPT,14,4,3,1,4.5667,Don’t collude with your partners to shut down major parts of game play.
G409,G,ANCHORED,20,8,2,0,4.4762,ROBOTS must be safe.
R404,R,GAME-SPECIFIC,19,2,1,0,4.369,BUMPERS must be soft.
G403,G,ANCHORED-CONCEPT,11,7,2,2,4.2452,Limited AUTO opponent interaction.
G425,G,GAME-SPECIFIC,12,5,1,1,4.119,SCORING ELEMENT delivery.
G210,G,EVERGREEN-CONCEPT,12,5,3,3,4.069,Don’t expect to gain by doing others harm.
R408,R,GAME-SPECIFIC,16,2,1,0,4.0476,Weight limit with BUMPERS.
G420,G,ANCHORED-CONCEPT,10,6,2,2,3.9714,TOWER protection.
R501,R,EVERGREEN-CONCEPT,9,6,3,0,3.9143,Allowable motors.
G424,G,ANCHORED-CONCEPT,6,4,3,3,3.7095,Humans: use SCORING ELEMENTS as directed.
R405,R,EVERGREEN-CONCEPT,19,1,2,2,3.6524,BUMPERS interact with BUMPERS.
R105,R,ANCHORED-CONCEPT,7,3,3,1,3.65,ROBOT horizontal extension limit.
R106,R,GAME-SPECIFIC,12,5,0,0,3.619,Horizontal extension – one direction at a time.
G418,G,EVERGREEN-CONCEPT,12,2,3,1,3.569,There’s a 3-count on PINS.
G406,G,EVERGREEN-CONCEPT,15,3,2,1,3.5571,Don’t abuse SCORING ELEMENTS.
G402,G,ANCHORED-CONCEPT,7,2,3,0,3.4833,Let the ROBOT do its thing.
R621,R,EVERGREEN-CONCEPT,8,4,3,0,3.4738,Protect circuits with appropriate circuit breakers.
R409,R,GAME-SPECIFIC,12,4,0,0,3.4524,BUMPERS should be passive.
G405,G,EVERGREEN-CONCEPT,6,5,3,3,3.4262,Keep SCORING ELEMENTS in bounds.
G411,G,EVERGREEN-CONCEPT,12,4,2,2,3.4024,Don’t damage the FIELD
R406,R,EVERGREEN-CONCEPT,7,4,3,2,3.3667,Fill BUMPER corners.
G410,G,EVERGREEN-CONCEPT,5,5,3,3,3.319,Keep your BUMPERS low
