rule_id,prefix,years,n_years,contiguous,min_yoy,mean_yoy,last_yoy,headline_last,yoy_detail
A1,A,"2017,2018",2,1,0.7866,0.7866,0.7866,Behind the lines.,2017->2018:0.7866
A2,A,"2017,2018",2,1,0.6615,0.6615,0.6615,"During AUTO, let the ROBOT do its thing.",2017->2018:0.6615
A3,A,"2017,2018",2,1,0.617,0.617,0.617,Disconnect or set down controllers.,2017->2018:0.617
A4,A,"2017,2018",2,1,0.6446,0.6446,0.6446,Stay out of your opponent’s side of the FIELD.,2017->2018:0.6446
A5,A,"2017,2018",2,1,0.3125,0.3125,0.3125,POWER CUBES are off-limits.,2017->2018:0.3125
C1,C,"2017,2018,2019,2020,2021",5,1,0.1258,0.6114,0.9983,Egregious behavior beyond what is listed in the rules or,2017->2018:0.1258;2018->2019:0.9635;2019->2020:0.3581;2020->2021:0.9983
C2,C,"2017,2018,2019,2020,2021",5,1,0.191,0.6316,0.9858,"All teams must be civil toward their team members, other team members,",2017->2018:0.191;2018->2019:0.8978;2019->2020:0.4519;2020->2021:0.9858
C3,C,"2017,2018,2019,2020,2021",5,1,0.6628,0.886,1.0,"A team may not encourage an ALLIANCE, of",2017->2018:0.6628;2018->2019:0.9535;2019->2020:0.9276;2020->2021:1.0
C4,C,"2017,2018,2019,2020,2021",5,1,0.0596,0.7187,0.9886,"A team, as the result of",2017->2018:0.0596;2018->2019:0.9379;2019->2020:0.8885;2020->2021:0.9886
C5,C,"2017,2018,2019,2020,2021",5,1,0.2476,0.7139,0.9945,Each registered FIRST Robotics Competition team may enter only one,2017->2018:0.2476;2018->2019:0.947;2019->2020:0.6667;2020->2021:0.9945
C6,C,"2017,2018,2019,2020,2021",5,1,0.1288,0.6521,0.962,"Upon each team’s ROBOT passing initial, complete Inspection, the",2017->2018:0.1288;2018->2019:0.939;2019->2020:0.5786;2020->2021:0.962
C7,C,"2017,2018,2019,2020,2021",5,1,0.0327,0.4539,0.9204,DRIVE TEAMS may not cause,2017->2018:0.08;2018->2019:0.0327;2019->2020:0.7824;2020->2021:0.9204
C8,C,"2017,2018,2019,2020,2021",5,1,0.048,0.4157,1.0,Strategies clearly aimed at forcing the opponent,2017->2018:0.0761;2018->2019:0.048;2019->2020:0.5385;2020->2021:1.0
C9,C,"2017,2018,2019,2020,2021",5,1,0.0569,0.4664,0.8654,. A team may only send one (1) pre-college student from its,2017->2018:0.0569;2018->2019:0.078;2019->2020:0.8654;2020->2021:0.8654
C10,C,"2017,2018,2019,2020,2021",5,1,0.0585,0.5086,0.9767,Plug in to/be in your PLAYER STATION,2017->2018:0.0585;2018->2019:0.0896;2019->2020:0.9097;2020->2021:0.9767
C11,C,"2017,2019,2021",3,0,,,,Don’t trick the sensors.,2017->2019:None;2019->2021:None
C301,C,"2024,2025,2026",3,1,1.0,1.0,1.0,Wear your buttons.,2024->2025:1.0;2025->2026:1.0
E101,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Personal safety comes first.,2024->2025:1.0;2025->2026:1.0
E102,E,"2024,2025,2026",3,1,0.9618,0.9809,1.0,Be nice.,2024->2025:0.9618;2025->2026:1.0
E103,E,"2024,2025,2026",3,1,1.0,1.0,1.0,"Children with adults, please.",2024->2025:1.0;2025->2026:1.0
E104,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Respect the venue.,2024->2025:1.0;2025->2026:1.0
E105,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Teams must check in.,2024->2025:1.0;2025->2026:1.0
E106,E,"2024,2025,2026",3,1,0.9524,0.9762,0.9524,Some event resources for event teams only.,2024->2025:1.0;2025->2026:0.9524
E107,E,"2024,2025,2026",3,1,0.1548,0.4319,0.7091,Work in designated areas only.,2024->2025:0.1548;2025->2026:0.7091
E108,E,"2024,2025,2026",3,1,0.1527,0.5133,0.8739,Some things don’t belong at events.,2024->2025:0.1527;2025->2026:0.8739
E109,E,"2024,2025,2026",3,1,0.1957,0.5978,1.0,Don’t arrange for additional utilities.,2024->2025:0.1957;2025->2026:1.0
E110,E,"2024,2025,2026",3,1,0.1096,0.5548,1.0,Don’t sell stuff.,2024->2025:0.1096;2025->2026:1.0
E111,E,"2024,2025,2026",3,1,0.3333,0.6666,1.0,Don’t give out food.,2024->2025:0.3333;2025->2026:1.0
E112,E,"2024,2025,2026",3,1,0.1053,0.5526,1.0,"Make FIRST loud, but with restrictions.",2024->2025:0.1053;2025->2026:1.0
E113,E,"2024,2025,2026",3,1,0.0958,0.5374,0.979,Hang banners with care.,2024->2025:0.0958;2025->2026:0.979
E114,E,"2024,2025,2026",3,1,0.068,0.407,0.746,Limit flag and flagpole size.,2024->2025:0.068;2025->2026:0.746
E115,E,"2024,2025,2026",3,1,0.0208,0.5104,1.0,No firearms.,2024->2025:0.0208;2025->2026:1.0
E116,E,"2024,2025,2026",3,1,0.0811,0.5405,1.0,Only COTS batteries allowed.,2024->2025:0.0811;2025->2026:1.0
E117,E,"2024,2025,2026",3,1,0.0656,0.0708,0.0761,Do not record anyone at the event without their consent.,2024->2025:0.0656;2025->2026:0.0761
E201,E,"2024,2025,2026",3,1,1.0,1.0,1.0,The ROBOT goes alone to off-site machine shops.,2024->2025:1.0;2025->2026:1.0
E301,E,"2024,2025,2026",3,1,1.0,1.0,1.0,No wireless communication.,2024->2025:1.0;2025->2026:1.0
E302,E,"2024,2025,2026",3,1,0.9829,0.9857,0.9829,Don’t interfere with wireless networks.,2024->2025:0.9885;2025->2026:0.9829
E303,E,"2024,2025,2026",3,1,0.9,0.95,0.9,Tethered operation outside FIELDS/PRACTICE AREAS.,2024->2025:1.0;2025->2026:0.9
E401,E,"2024,2025,2026",3,1,0.6528,0.8232,0.6528,Load in during Load-In.,2024->2025:0.9935;2025->2026:0.6528
E402,E,"2024,2025,2026",3,1,0.95,0.975,0.95,Load-In person limit is 6.,2024->2025:1.0;2025->2026:0.95
E403,E,"2024,2025,2026",3,1,0.4048,0.6068,0.8088,Load-In Restrictions.,2024->2025:0.4048;2025->2026:0.8088
E404,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Pit must be left in a safe state.,2024->2025:1.0;2025->2026:1.0
E405,E,"2024,2025,2026",3,1,0.9364,0.9682,0.9364,"Once done, head out.",2024->2025:1.0;2025->2026:0.9364
E501,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Pits are unavailable if closed.,2024->2025:1.0;2025->2026:1.0
E502,E,"2024,2025,2026",3,1,0.5882,0.7941,0.5882,Stay in your pit.,2024->2025:1.0;2025->2026:0.5882
E503,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Keep aisles clear.,2024->2025:1.0;2025->2026:1.0
E504,E,"2024,2025,2026",3,1,0.9706,0.9853,0.9706,No sparks or flames.,2024->2025:1.0;2025->2026:0.9706
E505,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Nothing too big.,2024->2025:1.0;2025->2026:1.0
E506,E,"2024,2025,2026",3,1,1.0,1.0,1.0,No brazing or welding.,2024->2025:1.0;2025->2026:1.0
E507,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Solder with specific tools only.,2024->2025:1.0;2025->2026:1.0
E508,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Structures must be safe.,2024->2025:1.0;2025->2026:1.0
E509,E,"2024,2025,2026",3,1,1.0,1.0,1.0,Secure team identification assets.,2024->2025:1.0;2025->2026:1.0
E601,E,"2024,2025,2026",3,1,0.0444,0.4536,0.8627,Inspection for TEST & PRACTICE AREAS.,2024->2025:0.0444;2025->2026:0.8627
E602,E,"2024,2025,2026",3,1,0.044,0.5155,0.987,Practice only when/where permitted.,2024->2025:0.044;2025->2026:0.987
E603,E,"2024,2025,2026",3,1,0.0522,0.4964,0.9405,TEST/PRACTICE AREA attendance is limited.,2024->2025:0.0522;2025->2026:0.9405
E604,E,"2024,2025,2026",3,1,0.1163,0.4943,0.8723,Give ROBOTS space.,2024->2025:0.1163;2025->2026:0.8723
E605,E,"2024,2025,2026",3,1,0.1053,0.5526,1.0,Be ready to DISABLE.,2024->2025:0.1053;2025->2026:1.0
E606,E,"2024,2025,2026",3,1,0.08,0.4517,0.8235,Be safe.,2024->2025:0.08;2025->2026:0.8235
E701,E,"2024,2025,2026",3,1,0.0299,0.515,1.0,Carts must be safe and easy to use.,2024->2025:0.0299;2025->2026:1.0
E702,E,"2024,2025,2026",3,1,0.0513,0.4632,0.875,Carts shouldn’t be too big.,2024->2025:0.0513;2025->2026:0.875
E703,E,"2024,2025,2026",3,1,0.0816,0.5408,1.0,Carts can’t park anywhere.,2024->2025:0.0816;2025->2026:1.0
E704,E,"2025,2026",2,1,1.0,1.0,1.0,No noisy carts.,2025->2026:1.0
