rule_id	n_questions	pct_of_qs
G416	18	8.5
R402	16	7.5
R401	12	5.7
R106	12	5.7
G211	12	5.7
G415	12	5.7
G413	11	5.2
R404	9	4.2
G418	8	3.8
R405	8	3.8
G425	6	2.8
R101	6	2.8
R409	5	2.4
G407	5	2.4
G210	5	2.4
G419	5	2.4
R407	4	1.9
G427	4	1.9
G403	4	1.9
R618	4	1.9
R105	4	1.9
R412	4	1.9
G302	4	1.9
R406	4	1.9
R411	3	1.4
G417	3	1.4
G420	3	1.4
R107	3	1.4
R403	3	1.4
G404	3	1.4
R203	3	1.4
R504	3	1.4
R501	3	1.4
R102	3	1.4
R505	3	1.4
R615	3	1.4
G421	3	1.4
G401	3	1.4
R205	3	1.4
R623	2	0.9
R602	2	0.9
G411	2	0.9
R601	2	0.9
G422	2	0.9
R904	2	0.9
R617	2	0.9
G412	2	0.9
R104	2	0.9
R506	2	0.9
G303	2	0.9
G102	2	0.9
G301	2	0.9
R611	2	0.9
R714	1	0.5
R701	1	0.5
R715	1	0.5
G408	1	0.5
G414	1	0.5
R606	1	0.5
E117	1	0.5
R625	1	0.5
R108	1	0.5
R609	1	0.5
E108	1	0.5
R710	1	0.5
G423	1	0.5
G101	1	0.5
G424	1	0.5
T605	1	0.5
T606	1	0.5
G402	1	0.5
E402	1	0.5
R612	1	0.5
R905	1	0.5
R616	1	0.5
E102	1	0.5
G501	1	0.5
R709	1	0.5
G406	1	0.5
R703	1	0.5
G409	1	0.5
E301	1	0.5
R707	1	0.5
R706	1	0.5
R702	1	0.5
R704	1	0.5
I103	1	0.5
E118	1	0.5
R301	1	0.5
R621	1	0.5
G207	1	0.5
