rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2016->2017	2017->2018	2018->2019	2019->2020	2020->2021	headline
R21	0.017	0.239	0.228	0.017	0.097	0.199	0.136	0.746	Each ROBOT must be able to display primarily Red or Blue BUMPERS to MATCH their ALLIANCE color, as assigned in the MATCH
R37	0.036	0.318	0.212	0.213	0.131	0.208	0.036	1.000	The ROBOT battery must be secured such that it will not dislodge during vigorous ROBOT interaction including if the ROBO
R89	0.043	0.468	0.314	0.043	0.347	0.725	0.224	1.000	The OPERATOR CONSOLE, the set of COMPONENTS and MECHANISMS used by the DRIVERS and/or HUMAN PLAYER to relay commands to 
R92	0.052	0.391	0.350	0.350	0.328	0.223	0.052	1.000	Other than the system provided by the FIELD, no other form of wireless communications shall be used to communicate to, f
R11	0.057	0.303	0.050	1.000	0.196	0.109	0.153	0.057	This rule has been removed for the 2021 season
R57	0.063	0.365	0.225	0.229	0.063	0.341	0.290	0.901	ROBOTS must be controlled via one (1) programmable National Instruments roboRIO (P/N: am3000), with image version FRC_ro
R14	0.063	0.313	0.047	0.952	0.167	0.179	0.206	0.063	This rule has been removed for the 2021 season
R68	0.064	0.380	0.817	0.315	0.215	0.307	0.064	1.000	Every relay module (per R29-B), servo controller, and PWM motor controller shall be connected to a corresponding port (r
R34	0.069	0.327	0.412	0.166	0.173	0.069	0.228	1.000	Any battery charger used to charge a ROBOT battery must have the corresponding Anderson SB connector installed
R31	0.073	0.314	0.205	0.173	0.188	0.073	0.138	1.000	Servos must be connected to, and only to, one of the following: A
R48	0.077	0.368	0.157	0.077	0.144	0.239	0.381	1.000	The VRM supplying power to the Wireless Bridge per R47 must be connected to the designated supply terminals at the end o
R8	0.078	0.317	0.738	0.193	0.078	0.083	0.330	0.902	ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition, or
R72	0.085	0.368	0.816	0.311	0.085	0.152	0.292	1.000	The PDP CAN interface must be connected to the CAN-bus on the roboRIO (either directly or daisy-chained via another CAN-
R77	0.086	0.473	0.661	0.092	0.519	0.680	0.086	0.990	The only pneumatic system items permitted on ROBOTS include the items listed below
G19	0.088	0.347	0.291	0.274	0.131	0.088	0.245	1.000	Keep it together
R76	0.091	0.407	1.000	0.091	0.444	0.258	0.241	1.000	All pneumatic COMPONENTS must be used in their original, unaltered condition
G6	0.091	0.397	0.108	0.091	0.263	0.335	0.296	1.000	No more than five (5) POWER CELLS at a time
R62	0.092	0.344	0.885	0.326	0.092	0.220	0.197	0.885	All signals must originate from the OPERATOR CONSOLE and be transmitted to the ROBOT via the ARENA Ethernet network
R15	0.094	0.212	0.131	0.435	0.175	0.094	0.200	0.156	This rule has been removed for the 2021 season
R35	0.094	0.328	0.265	0.229	0.147	0.170	0.094	1.000	Any battery charger used to charge a ROBOT battery may not be used such that it exceeds 6- Amp peak charge current
R7	0.095	0.304	0.224	0.177	0.095	0.097	0.153	1.000	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the
R30	0.095	0.288	0.095	0.107	0.115	0.095	0.141	0.984	Each power regulating device may control electrical loads per Table 9-2
R6	0.095	0.309	0.908	0.100	0.095	0.172	0.178	1.000	Traction devices must not have surface features that could damage the ARENA (e
R16	0.096	0.216	0.207	0.096	0.246	0.149	0.110	0.476	During an event a team is attending (regardless of whether the team is physically at the event location), the team may n
R22	0.096	0.325	0.214	0.145	0.223	0.096	0.189	0.973	Team numbers must be displayed and positioned on the BUMPERS such that an observer walking around the perimeter of the R
R69	0.100	0.338	0.927	0.100	0.275	0.200	0.152	0.966	If a motor is controlled via the MXP, its power regulating device must be connected by one of the following methods: A
G16	0.100	0.379	0.233	0.100	0.218	0.276	0.299	1.000	Keep your BUMPERS low
R33	0.104	0.300	0.170	0.104	0.162	0.107	0.157	0.968	COTS USB battery packs with a capacity of 100Wh or less (20000mAh at 5V) and 2
R65	0.107	0.357	0.898	0.149	0.107	0.322	0.211	0.995	ROBOTS must use at least one (1), but no more than two (2), diagnostic ROBOT Signal Lights (RSL) (P/N: 855PB-B12ME522)
R90	0.109	0.482	0.061	0.156	0.144	1.000	0.109	1.000	Devices hosting the Driver Station software must only interface with the Field Management System (FMS) via the Ethernet 
R60	0.110	0.335	0.725	0.196	0.164	0.110	0.205	1.000	Communication between the ROBOT and the OPERATOR CONSOLE is restricted as follows: A
R51	0.110	0.332	0.248	0.200	0.110	0.233	0.209	0.910	The fuses in the PDP shall only be replaced with functionally identical fuses (mini automotive blade fuses with values m
G8	0.112	0.456	0.254	0.187	0.154	0.112	0.828	1.000	POWER CELLS: use as directed
R73	0.112	0.398	0.817	0.324	0.388	0.112	0.166	1.000	The CAN-bus must be connected to the roboRIO CAN port
R23	0.114	0.299	0.155	0.131	0.138	0.114	0.115	1.000	Each set of BUMPERS (including any fasteners and/or structures that attach them to the ROBOT) must weigh no more than 15
R24	0.114	0.350	0.112	0.282	0.130	0.114	0.245	0.980	BUMPERS must be constructed as follows (see Figure 9-7): A
R36	0.117	0.320	0.132	0.138	0.134	0.212	0.117	1.000	No batteries other than those allowed per R32 and R33 are allowed on the ROBOT, whether or not they are being used to su
R32	0.118	0.336	0.145	0.119	0.118	0.232	0.209	1.000	The only legal source of electrical energy for the ROBOT during the competition, the ROBOT battery, must be one and only
R53	0.121	0.326	0.233	0.178	0.165	0.297	0.121	0.867	All circuits shall be wired with appropriately sized insulated copper wire (SIGNAL LEVEL cables don’t have to be copper)
R29	0.123	0.349	0.141	0.211	0.145	0.279	0.123	0.989	With the exception of servos, fans, or motors integral to sensors of COTS computing devices permitted in R27, each actua
