rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2017->2018	2018->2019	2019->2020	2020->2021	headline
R13	0.012	0.106	0.038	0.222	0.137	0.055	0.012	
R11	0.024	0.158	0.040	0.254	0.295	0.059	0.024	
R14	0.029	0.169	0.033	0.462	0.040	0.147	0.029	
R37	0.034	0.331	0.099	0.176	0.115	0.034	1.000	
R92	0.038	0.397	0.291	0.328	0.223	0.038	1.000	
R15	0.039	0.166	0.056	0.263	0.141	0.223	0.039	
R8	0.047	0.350	0.128	0.047	0.196	0.156	1.000	ROBOT parts shall not be made from hazardous materials, be unsafe, cause an unsafe condition, or
R31	0.053	0.336	0.157	0.192	0.053	0.101	1.000	
R68	0.064	0.437	0.251	0.379	0.307	0.064	1.000	
R63	0.067	0.390	0.247	0.277	0.067	0.217	1.000	
R23	0.070	0.368	0.325	0.246	0.070	0.156	1.000	
R34	0.073	0.385	0.088	0.309	0.157	0.073	1.000	
R35	0.075	0.329	0.102	0.160	0.081	0.075	1.000	
R57	0.076	0.415	0.213	0.076	0.341	0.244	1.000	
R93	0.081	0.359	0.084	0.141	0.265	0.081	0.948	
R12	0.086	0.285	0.497	0.310	0.086	0.185	0.557	
R84	0.091	0.380	0.249	0.323	0.104	0.091	1.000	
R9	0.095	0.368	0.243	0.380	0.095	0.122	0.876	ROBOTS must allow removal of game pieces from the ROBOT and the ROBOT from FIELD
R73	0.095	0.415	0.255	0.388	0.095	0.177	1.000	
R20	0.101	0.364	0.274	0.243	0.112	0.101	1.000	
R60	0.104	0.369	0.179	0.188	0.104	0.186	1.000	
R36	0.104	0.373	0.290	0.104	0.222	0.165	1.000	
R29	0.108	0.370	0.132	0.258	0.108	0.115	1.000	
R32	0.109	0.362	0.108	0.109	0.189	0.149	1.000	
R67	0.112	0.398	0.421	0.308	0.170	0.112	1.000	
R26	0.116	0.409	0.231	0.258	0.262	0.116	1.000	
R80	0.117	0.398	0.309	0.246	0.230	0.117	1.000	
R22	0.121	0.369	0.224	0.121	0.178	0.179	1.000	
R42	0.122	0.420	0.239	0.331	0.228	0.122	1.000	
R25	0.124	0.385	0.332	0.262	0.124	0.156	1.000	
R81	0.124	0.460	0.207	0.420	0.298	0.124	1.000	
R21	0.124	0.331	0.183	0.165	0.240	0.124	0.793	
R30	0.128	0.412	0.091	0.424	0.128	0.228	0.869	
R56	0.130	0.397	0.183	0.212	0.130	0.248	1.000	
R83	0.131	0.404	0.176	0.320	0.131	0.164	1.000	
R6	0.133	0.407	0.095	0.133	0.227	0.266	1.000	Traction devices must not have surface features that could damage the ARENA (e
R27	0.135	0.435	0.125	0.407	0.206	0.135	0.994	
R43	0.135	0.418	0.234	0.198	0.338	0.135	1.000	
R66	0.135	0.410	0.080	0.266	0.237	0.135	1.000	
R49	0.136	0.369	0.205	0.191	0.150	0.136	1.000	
R17	0.138	0.419	0.214	0.384	0.154	0.138	1.000	
R33	0.139	0.361	0.240	0.139	0.145	0.162	0.996	
R46	0.141	0.381	0.160	0.152	0.232	0.141	1.000	
R58	0.142	0.422	0.240	0.246	0.142	0.301	1.000	
R77	0.142	0.558	0.072	0.696	0.392	0.142	1.000	
R7	0.143	0.413	0.093	0.357	0.143	0.153	1.000	Protrusions from the ROBOT and exposed surfaces on the ROBOT shall not pose hazards to the
R90	0.144	0.582	0.159	0.144	1.000	0.183	1.000	
R69	0.144	0.488	0.089	0.428	0.381	0.144	1.000	
R24	0.145	0.392	0.029	0.277	0.169	0.145	0.978	
R53	0.147	0.417	0.115	0.215	0.307	0.147	1.000	
R18	0.147	0.422	0.112	0.227	0.314	0.147	1.000	
R51	0.149	0.422	0.182	0.149	0.233	0.306	1.000	
R62	0.150	0.402	0.295	0.150	0.263	0.197	1.000	
R85	0.151	0.413	0.223	0.291	0.210	0.151	1.000	
R50	0.154	0.404	0.318	0.212	0.154	0.252	1.000	
R16	0.157	0.343	0.150	0.232	0.157	0.167	0.817	
