rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2022->2023	headline
T701	0.055	0.055	0.123	0.055	
G109	0.159	0.159	0.088	0.159	
H301	0.181	0.181	0.369	0.181	
T702	0.217	0.217	0.133	0.217	
H108	0.240	0.240	0.228	0.240	
H107	0.241	0.241	0.125	0.241	
G209	0.256	0.256	0.303	0.256	
H312	0.270	0.270	0.397	0.270	
H505	0.306	0.306	0.260	0.306	
G208	0.330	0.330	0.283	0.330	
H506	0.337	0.337	0.015	0.337	
G405	0.343	0.343	0.766	0.343	
G404	0.352	0.352	0.300	0.352	
G108	0.362	0.362	0.346	0.362	
G302	0.388	0.388	0.327	0.388	
G207	0.402	0.402	0.293	0.402	
G403	0.492	0.492	0.621	0.492	
G106	0.509	0.509	0.664	0.509	
H202	0.522	0.522	0.603	0.522	
G107	0.522	0.522	0.717	0.522	
R613	0.569	0.569	0.569	0.569	
H504	0.600	0.600	0.627	0.600	
H502	0.684	0.684	0.696	0.684	
G205	0.702	0.702	0.877	0.702	
G402	0.705	0.705	0.678	0.705	
H306	0.731	0.731	0.797	0.731	
H311	0.738	0.738	0.825	0.738	
G401	0.755	0.755	0.757	0.755	
H401	0.774	0.774	0.908	0.774	
G102	0.812	0.812	0.889	0.812	
I107	0.816	0.816	0.825	0.816	
H503	0.825	0.825	0.810	0.825	
H403	0.843	0.843	0.828	0.843	
H309	0.858	0.858	0.921	0.858	
R205	0.871	0.871	0.871	0.871	
R602	0.884	0.884	0.884	0.884	
R714	0.906	0.906	0.906	0.906	
R709	0.909	0.909	0.863	0.909	
H304	0.915	0.915	0.943	0.915	
R202	0.928	0.928	0.928	0.928	
T401	0.932	0.932	0.617	0.932	
R408	0.932	0.932	0.931	0.932	
R501	0.934	0.934	0.933	0.934	
R204	0.938	0.938	0.938	0.938	
R812	0.939	0.939	0.973	0.939	
G301	0.943	0.943	0.970	0.943	
R302	0.944	0.944	0.959	0.944	
R906	0.946	0.946	0.946	0.946	
R619	0.950	0.950	0.950	0.950	
R405	0.962	0.962	0.948	0.962	
R710	0.963	0.963	0.968	0.963	
R304	0.963	0.963	0.964	0.963	
R715	0.969	0.969	0.969	0.969	
H302	0.970	0.970	0.976	0.970	
I101	0.978	0.978	0.979	0.978	
H303	0.979	0.979	0.973	0.979	
G203	0.982	0.982	0.929	0.982	
R504	0.987	0.987	0.969	0.987	
R105	0.989	0.989	0.990	0.989	
R622	0.989	0.989	0.991	0.989	
R904	0.990	0.990	0.990	0.990	
R303	0.990	0.990	0.990	0.990	
R805	0.991	0.991	0.987	0.991	
R609	0.992	0.992	0.993	0.992	
R701	0.993	0.993	0.993	0.993	
R104	0.996	0.996	0.996	0.996	
R901	0.996	0.996	0.996	0.996	
R406	0.996	0.996	0.961	0.996	
R611	0.997	0.997	0.997	0.997	
H201	0.998	0.998	0.948	0.998	
I105	0.999	0.999	0.999	0.999	
H102	0.999	0.999	0.999	0.999	
G101	1.000	1.000	0.989	1.000	
G103	1.000	1.000	1.000	1.000	
G104	1.000	1.000	1.000	1.000	
G105	1.000	1.000	1.000	1.000	
G201	1.000	1.000	0.684	1.000	
G202	1.000	1.000	1.000	1.000	
G204	1.000	1.000	0.990	1.000	
G206	1.000	1.000	0.859	1.000	
H101	1.000	1.000	0.926	1.000	
H103	1.000	1.000	1.000	1.000	
H104	1.000	1.000	1.000	1.000	
H105	1.000	1.000	0.994	1.000	
H106	1.000	1.000	0.990	1.000	
H305	1.000	1.000	1.000	1.000	
H307	1.000	1.000	1.000	1.000	
H308	1.000	1.000	1.000	1.000	
H310	1.000	1.000	0.900	1.000	
H402	1.000	1.000	1.000	1.000	
H501	1.000	1.000	1.000	1.000	
I102	1.000	1.000	1.000	1.000	
I103	1.000	1.000	1.000	1.000	
I104	1.000	1.000	1.000	1.000	
I106	1.000	1.000	1.000	1.000	
R101	1.000	1.000	1.000	1.000	
R102	1.000	1.000	1.000	1.000	
R103	1.000	1.000	1.000	1.000	
R201	1.000	1.000	1.000	1.000	
R203	1.000	1.000	0.997	1.000	
R301	1.000	1.000	1.000	1.000	
R401	1.000	1.000	1.000	1.000	
R402	1.000	1.000	1.000	1.000	
R403	1.000	1.000	1.000	1.000	
R404	1.000	1.000	1.000	1.000	
R407	1.000	1.000	1.000	1.000	
R409	1.000	1.000	1.000	1.000	
R410	1.000	1.000	1.000	1.000	
R502	1.000	1.000	1.000	1.000	
R503	1.000	1.000	0.996	1.000	
R505	1.000	1.000	1.000	1.000	
R601	1.000	1.000	1.000	1.000	
R603	1.000	1.000	1.000	1.000	
R604	1.000	1.000	1.000	1.000	
R605	1.000	1.000	1.000	1.000	
R606	1.000	1.000	1.000	1.000	
R607	1.000	1.000	1.000	1.000	
R608	1.000	1.000	1.000	1.000	
R610	1.000	1.000	1.000	1.000	
R612	1.000	1.000	1.000	1.000	
R614	1.000	1.000	1.000	1.000	
R615	1.000	1.000	1.000	1.000	
R616	1.000	1.000	1.000	1.000	
R617	1.000	1.000	1.000	1.000	
R618	1.000	1.000	1.000	1.000	
R620	1.000	1.000	1.000	1.000	
R621	1.000	1.000	1.000	1.000	
R623	1.000	1.000	1.000	1.000	
R624	1.000	1.000	1.000	1.000	
R625	1.000	1.000	1.000	1.000	
R702	1.000	1.000	1.000	1.000	
R703	1.000	1.000	1.000	1.000	
R704	1.000	1.000	1.000	1.000	
R705	1.000	1.000	1.000	1.000	
R706	1.000	1.000	1.000	1.000	
R707	1.000	1.000	1.000	1.000	
R708	1.000	1.000	1.000	1.000	
R711	1.000	1.000	1.000	1.000	
R712	1.000	1.000	1.000	1.000	
R713	1.000	1.000	1.000	1.000	
R716	1.000	1.000	1.000	1.000	
R717	1.000	1.000	1.000	1.000	
R718	1.000	1.000	1.000	1.000	
R801	1.000	1.000	1.000	1.000	
R802	1.000	1.000	1.000	1.000	
R803	1.000	1.000	1.000	1.000	
R804	1.000	1.000	1.000	1.000	
R806	1.000	1.000	1.000	1.000	
R807	1.000	1.000	1.000	1.000	
R808	1.000	1.000	1.000	1.000	
R809	1.000	1.000	1.000	1.000	
R810	1.000	1.000	1.000	1.000	
R811	1.000	1.000	1.000	1.000	
R813	1.000	1.000	1.000	1.000	
R814	1.000	1.000	1.000	1.000	
R902	1.000	1.000	1.000	1.000	
R903	1.000	1.000	1.000	1.000	
R905	1.000	1.000	1.000	1.000	
T901	1.000	1.000	0.620	1.000	
