rule_id	min_stmt_sim	mean_stmt_sim	firstlast_body_sim	2024->2025	2025->2026	headline
R408	0.054	0.519	0.057	0.054	0.984	R408*Weight limit with BUMPERS
T608	0.063	0.532	0.087	0.063	1.000	No BACKUP TEAMS for 1st MATCH
G418	0.089	0.127	0.263	0.166	0.089	G418*There’s a 3-count on PINS
G420	0.090	0.243	0.180	0.090	0.397	G420TOWER protection
E802	0.091	0.545	0.091	0.091	1.000	Pit person limit during Ceremonies is 5
T605	0.093	0.546	0.136	0.093	1.000	T605*Picks are time limited
R402	0.096	0.459	0.075	0.096	0.821	R402*BUMPER construction
G427	0.097	0.166	0.209	0.236	0.097	G427The OUTPOST has a storage limit
E703	0.098	0.549	0.098	0.098	1.000	Carts can’t park anywhere
G411	0.119	0.345	0.133	0.119	0.571	G411Don’t damage the FIELD
R302	0.120	0.560	0.300	0.120	1.000	R302*MAJOR MECHANISM, from this year only
G425	0.133	0.176	0.163	0.133	0.218	G425*SCORING ELEMENT delivery
E509	0.135	0.225	0.540	0.315	0.135	Secure team identification assets
E110	0.146	0.573	0.146	0.146	1.000	Don’t sell stuff
T610	0.148	0.574	0.180	0.148	1.000	T610*BACKUP TEAMS due 2 minutes before the MATCH start time
E114	0.159	0.580	0.194	0.159	1.000	Limit flag and flagpole size
G408	0.168	0.220	0.192	0.273	0.168	G408Don’t catch FUEL
G416	0.171	0.294	0.270	0.171	0.417	G416*This isn’t combat robotics
G210	0.182	0.591	0.126	0.182	1.000	G210*Don’t expect to gain by doing others harm
T602	0.184	0.592	0.172	0.184	1.000	T602*STUDENTS must outnumber adults
E702	0.196	0.572	0.171	0.196	0.947	Carts shouldn’t be too big
E701	0.197	0.598	0.197	0.197	1.000	Carts must be safe and easy to use
G421	0.197	0.221	0.141	0.197	0.245	G421*No wandering
G414	0.200	0.239	0.328	0.279	0.200	G414Don’t Climb on each other
E117	0.205	0.537	0.198	0.869	0.205	Do not record anyone at the event without their consent
E604	0.206	0.575	0.276	0.206	0.944	Give ROBOTS space
G424	0.206	0.344	0.251	0.206	0.483	G424*Humans: use SCORING ELEMENTS as directed
E115	0.206	0.603	0.183	0.206	1.000	No firearms
E602	0.213	0.590	0.161	0.213	0.967	Practice only when/where permitted
E108	0.218	0.543	0.254	0.218	0.868	Some things don’t belong at events
T603	0.220	0.610	0.296	0.220	1.000	T603*Only STUDENTS may use the mic
G412	0.223	0.281	0.129	0.338	0.223	G412Watch your FIELD interaction
R906	0.235	0.618	0.235	0.235	1.000	R906*No unsafe OPERATOR CONSOLES
G212	0.237	0.618	0.165	0.237	1.000	G212*All teams can play
G415	0.241	0.262	0.195	0.241	0.283	G415*Stay out of other ROBOTS
E606	0.244	0.611	0.251	0.244	0.978	Be safe
E801	0.246	0.620	0.224	0.246	0.994	If in the pits during Ceremonies, shhhhhh
E109	0.250	0.625	0.250	0.250	1.000	Don’t arrange for additional utilities
R410	0.252	0.626	0.226	0.252	1.000	R410*BUMPERS must come off
T606	0.252	0.626	0.256	0.252	1.000	T606*Declining teams can’t be picked
G409	0.260	0.312	0.304	0.364	0.260	G409*ROBOTS must be safe
R406	0.260	0.623	0.178	0.260	0.987	R406*Fill BUMPER corners
T609	0.263	0.631	0.267	0.263	1.000	BACKUP TEAMS play when called
E601	0.264	0.591	0.335	0.264	0.918	Inspection for TEST & PRACTICE AREAS
E113	0.269	0.633	0.175	0.269	0.996	Hang banners with care
G413	0.270	0.282	0.377	0.270	0.295	G413Expansion limits
G423	0.272	0.331	0.268	0.389	0.272	G423*DRIVE TEAMS, watch your reach
E116	0.274	0.637	0.320	0.274	1.000	Only COTS batteries allowed
E303	0.282	0.504	0.237	0.282	0.725	Tethered operation outside FIELDS/PRACTICE AREAS
G419	0.284	0.304	0.313	0.324	0.284	G419*Don’t collude with your partners to shut down major parts of game play
R716	0.286	0.633	0.559	0.286	0.979	R716*Don’t alter the CAN bus
G405	0.291	0.321	0.292	0.352	0.291	G405*Keep SCORING ELEMENTS in bounds
T607	0.299	0.650	0.329	0.299	1.000	No BACKUP TEAM for replayed MATCHES
R405	0.305	0.604	0.309	0.305	0.903	R405*BUMPERS interact with BUMPERS
G209	0.305	0.653	0.146	0.305	1.000	G209*Keep your ROBOT together
G417	0.312	0.321	0.226	0.312	0.330	G417*Don’t tip or entangle
G302	0.316	0.655	0.360	0.993	0.316	G302*Limit what you use during a MATCH
G422	0.319	0.365	0.313	0.411	0.319	G422*DRIVE COACHES and other teams: hands off the controls
E603	0.319	0.605	0.183	0.319	0.891	TEST/PRACTICE AREA attendance is limited
R717	0.321	0.660	0.180	0.321	1.000	R717*USB to CAN adapter permitted
G426	0.321	0.326	0.268	0.330	0.321	G426*DRIVE COACHES, SCORING ELEMENTS are off limits
T604	0.332	0.666	0.353	0.332	1.000	T604*Only the ALLIANCE CAPTAIN may invite an ALLIANCE
E403	0.333	0.550	0.359	0.333	0.766	Load-In Restrictions
G410	0.337	0.350	0.387	0.362	0.337	G410*Keep your BUMPERS low
E111	0.340	0.670	0.340	0.340	1.000	Don’t give out food
E605	0.342	0.671	0.342	0.342	1.000	Be ready to DISABLE
R404	0.345	0.590	0.269	0.345	0.836	R404*BUMPERS must be soft
R303	0.347	0.673	0.393	1.000	0.347	R303*Create new designs and software, unless they’re public
R407	0.348	0.674	0.331	0.348	1.000	R407*BUMPERS shouldn’t be wedges
T601	0.352	0.676	0.426	0.352	1.000	T601*Send your STUDENT representatives
G211	0.353	0.569	0.089	0.353	0.785	G211*Egregious or exceptional violations
R409	0.356	0.465	0.305	0.356	0.574	R409*BUMPERS should be passive
G404	0.356	0.359	0.297	0.356	0.362	G404*ROBOTS: use SCORING ELEMENTS as directed
E107	0.365	0.675	0.306	0.365	0.986	Work in designated areas only
E112	0.370	0.685	0.370	0.370	1.000	Make FIRST loud, but with restrictions
G403	0.413	0.523	0.270	0.413	0.634	G403Limited AUTO opponent interaction
R703	0.452	0.586	0.531	0.452	0.719	R703*Use specific Ethernet port for roboRIO
R617	0.473	0.665	0.383	0.856	0.473	R617*Power radio as specified – Part 2
R615	0.477	0.627	0.505	0.777	0.477	R615*Power roboRIO as specified
G406	0.480	0.683	0.298	0.887	0.480	G406*Don’t abuse SCORING ELEMENTS
G407	0.487	0.676	0.380	0.866	0.487	G407Only score while in your ALLIANCE ZONE
G101	0.502	0.734	0.775	0.967	0.502	G101*Humans, remain outside the FIELD
R616	0.586	0.745	0.676	0.903	0.586	R616*Power radio as specified – Part 1
G102	0.589	0.794	0.924	1.000	0.589	G102*Never step over the guardrail
C301	0.618	0.717	0.635	0.815	0.618	C301*Wear your buttons
E401	0.625	0.813	0.653	1.000	0.625	Load in during Load-In
R403	0.639	0.737	0.542	0.639	0.836	R403*BUMPER extension limit
R205	0.640	0.820	0.640	1.000	0.640	R205*Don’t contaminate the FIELD
E502	0.692	0.846	0.692	1.000	0.692	Stay in your pit
