year	pymupdf_rules	pdftotext_rules	agree	pdftotext_only	pymupdf_only
2016	124	175	123	G10,G12,G15,G18,G22,G31,G40,G41,R12,R20,R28,R38,R45,R49,R61,R86,R9,T1,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T4,T5,T6,T7,T8,T9	R18
2017	209	152	152	-	A3,A5,C11,C12,C2,C3,C6,C7,G10,G13,G20,G26,G6,H11,H3,H6,H8,H9,R14,R16,R17,R20,R25,R27,R28,R29,R34,R36,R39,R41,R42,R44,R46,R49,R50,R55,R56,R59,R63,R68,R69,R70,R73,R74,R77,R8,R80,R85,R87,R89,R90,R93,R94,S5,S9,T5,T6
2018	191	133	133	-	C10,C2,C3,C6,G14,G18,G22,G25,G8,H11,H12,H14,H3,H5,H6,H9,R16,R17,R18,R19,R2,R21,R23,R26,R27,R30,R34,R35,R4,R41,R42,R44,R46,R48,R51,R52,R57,R58,R61,R65,R68,R69,R7,R70,R74,R76,R78,R81,R86,R87,R88,R90,R94,R95,S3,S4,S5,S6
2019	169	168	168	-	R100
2020	152	152	151	T2	R14
2021	164	164	164	-	-
2022	162	120	120	-	G109,G403,I103,I104,I105,I107,R103,R104,R202,R203,R204,R205,R304,R403,R404,R405,R407,R603,R604,R605,R608,R609,R611,R613,R614,R619,R620,R624,R625,R702,R706,R708,R713,R714,R715,R717,R805,R807,R808,R811,R814,R903
2023	176	124	124	-	G206,G209,H307,H504,H505,I102,I103,I106,R103,R104,R202,R203,R204,R205,R206,R304,R403,R404,R405,R407,R503,R504,R602,R603,R607,R608,R611,R612,R613,R614,R619,R620,R624,R625,R702,R706,R707,R712,R713,R714,R716,R717,R718,R805,R807,R808,R811,R814,R902,R903,R904,R905
2024	212	154	154	-	E105,E106,E107,E108,E109,E110,E111,E115,E117,E304,E507,E508,G104,G203,G211,G406,G408,G409,G411,G413,G416,G423,G424,G425,R103,R104,R105,R204,R303,R404,R407,R503,R604,R605,R606,R607,R609,R611,R612,R614,R619,R620,R624,R703,R706,R712,R715,R717,R718,R804,R808,R809,R810,R811,R812,R814,R906,T604
2025	228	187	187	-	E106,E107,E110,E111,E115,E117,E303,E405,E508,E509,E604,E605,E606,G104,G203,G403,G404,G405,G406,G408,G409,G413,G415,G417,G419,G421,G429,G432,R104,R409,R412,R604,R605,R608,R611,R615,R620,R703,R811,R814,R907
2026	225	189	189	-	E103,E108,E110,E111,E303,E405,E507,E509,E510,E511,E606,G210,G403,G404,G406,G409,G412,G421,G426,R206,R412,R604,R605,R608,R609,R611,R615,R616,R618,R620,R706,R712,R808,R811,R814,R907
