rule_id	n_updates	tus
G416	6	TU00,TU03,TU14,TU16,TU17,TU19
G211	5	TU06,TU07,TU13,TU14,TU22
G415	5	TU03,TU14,TU16,TU17,TU19
R106	5	TU02,TU03,TU06,TU13,TU14
G403	3	TU17,TU19,TU22
G413	3	TU06,TU13,TU14
R105	3	TU06,TU13,TU14
R107	3	TU06,TU13,TU14
E401	2	TU00,TU06
G302	2	TU00,TU05
G417	2	TU00,TU17
G425	2	TU13,TU15
R101	2	TU03,TU13
R402	2	TU00,TU11
R409	2	TU00,TU02
R501	2	TU00,TU01
R601	2	TU00,TU11
R615	2	TU00,TU07
R616	2	TU00,TU07
R617	2	TU00,TU07
R904	2	TU00,TU09
E117	1	TU00
E402	1	TU00
E403	1	TU05
E510	1	TU00
E511	1	TU00
G101	1	TU00
G102	1	TU00
G208	1	TU00
G210	1	TU12
G301	1	TU18
G303	1	TU14
G405	1	TU01
G408	1	TU14
G409	1	TU18
G410	1	TU00
G411	1	TU00
G412	1	TU00
G414	1	TU00
G419	1	TU09
G420	1	TU12
G427	1	TU14
I104	1	TU00
Q18	1	TU15
Q31	1	TU06
Q41	1	TU15
Q42	1	TU15
Q76	1	TU15
Q77	1	TU14
Q83	1	TU05
R203	1	TU00
R205	1	TU00
R304	1	TU00
R401	1	TU00
R404	1	TU02
R406	1	TU00
R412	1	TU00
R502	1	TU01
R504	1	TU00
R505	1	TU00
R609	1	TU00
R619	1	TU00
R621	1	TU01
R701	1	TU00
R703	1	TU00
R901	1	TU00
