tu	date	rule_ids	sections
TU00	January 10, 2026	E117,E401,E402,E510,E511,G101,G102,G208,G302,G410,G411,G412,G414,G416,G417,I104,R203,R205,R304,R401,R402,R406,R409,R412,R501,R504,R505,R601,R609,R615,R616,R617,R619,R701,R703,R901,R904	
TU01	January 13, 2026	G405,R501,R502,R621	11.5,14.6,6.5.1,6.5.2,6.5.3,6.8,7.4,8.5,8.6
TU02	January 16, 2026	R106,R404,R409	5.3,6.5,6.5.2,8.1,8.4
TU03	January 20, 2026	G415,G416,R101,R106	5.12,6.5,6.5.2,7.4,7.4.4,8.1
TU04	January 23, 2026		11.2
TU05	January 27, 2026	E403,G302,Q83	11.2,14.4,7.3
TU06	January 30, 2026	E401,G211,G413,Q31,R105,R106,R107	14.4,7.4.3
TU07	February 3, 2026	G211,R615,R616,R617	7.2,8.6
TU08	February 6, 2026		10.2,5.4,6.4,6.4.1,6.6,6.6.1
TU09	February 10, 2026	G419,R904	7.4,8.9
TU10	February 13, 2026		
TU11	February 17, 2026	R402,R601	2.0.1,8.4,8.6
TU12	February 20, 2026	G210,G420	10.6,10.6.2,11.1,11.1.4,11.5,6.5,6.5.2,7.2
TU13	February 24, 2026	G211,G413,G425,R101,R105,R106,R107	7.3,7.4.3,7.4.5,8.1
TU14	February 27, 2026	G211,G303,G408,G413,G415,G416,G427,Q77,R105,R106,R107	5.1,5.4,5.7,7.3,7.4,7.4.3,7.4.4,7.4.5
TU15	March 3, 2026	G425,Q18,Q41,Q42,Q76	6.5,6.5.2,6.6,7.4,7.4.5
TU16	March 10, 2026	G415,G416	7.4,7.4.4
TU17	March 17, 2026	G403,G415,G416,G417	7.4
TU18	March 24, 2026	G301,G409	6.6,6.6.1,7.4,7.4.3
TU19	March 31, 2026	G403,G415,G416	6.3,6.3.4,6.5,6.5.3,7.4,7.4.4
TU20	April 7, 2026		
TU21	April 14, 2026		
TU22	April 21, 2026	G211,G403	11.5,5.2,6.3,6.3.4,6.5,7.2,7.4,7.4.1
